AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA;BXNE53G1
2.7;2.7;6.8;6.8;0.1;0.1;0.1;0.1;14.2;0.0;3.4;31.0;31.0;38.0;30.3;4.6;4.6;5.7;5.7;2.3;10.3;7.2;8.9;8.9;8.9;0.0;0.0;-0.6;12.6;12.6;12.6;-0.5;-0.5;0.0;0.0;0.0;-0.7;1.2;1.2;13.1;10.7;10.7;8.8;0.0;-0.6;-0.3;-0.3;-0.7;5.4;5.4;0.0;0.0;0.1;0.1;0.1;1.4;1.4;9.8;9.8;-0.3;0.0;0.8;0.8;0.3;0.3;9.4;9.4;9.0;6.7;7.6;7.6;46.0;46.0;0.0;0.6;5.6;5.6;0.9;0.9;0.9;-0.7;-0.7;0.0;0.0;0.0;16.7;16.7;-2.4;-2.4;5.8;5.8;-0.9;-0.9;56.9;56.9;0.0;0.3;0.3;1.6;1.6;1.6;-0.2;-0.2;1.3;199.6;199.8;24.8;29.9;1267.4;-4.0;397.7;387.5;53.3;25.0;33.6;-40.3;24.9;-55.3;48.3;25.9;25.8;43.5;-141.3;-113.9;7.2;0.0;19.4;9.0;-0.8;16.2;12.0;-1.6;7.8;10.2;78.6;7.7;7.7;7.5;344.6;349.4;344.9;340.3;7.5;17.9;17.0;3.4;-484.0;-478.1;125.8;-293.7;-56.1;120.5;869.6;11.6;0.0;22.3;42.3;-54.1;87.5;103.9;719.3;718.5;0.0;-134.6;-614.6;39.0;39.1;453.7;0.9;-1.1;0.2;127.2;-0.0;-0.0;0.0;32.4;32.0;35.4;35.9;8.5;8.5;0.1;444.1;562.3;11.8;12.4;50.5;15.3;-0.0;15.3;-71.1;-54.8;-80.8;-128.5;26.3;26.1;27.9;14.9;9.1;0.9;0.0;-176.4;11.7;-491.3;12.3;-6.6;-13.1;-13.3;2.7;0.0;0.1;2.9;9.8;0.0
2.8;2.8;7.3;7.3;0.1;0.1;0.1;0.1;15.3;0.0;1.4;31.0;31.0;38.0;31.9;4.4;4.4;6.0;6.0;1.8;11.2;7.5;9.8;8.9;8.9;-0.1;-0.1;0.0;12.2;12.2;12.2;0.0;0.0;0.0;0.0;0.0;-0.1;1.1;1.1;12.4;11.0;11.0;9.2;0.0;-0.8;-0.4;-0.4;0.0;5.6;5.6;0.0;0.0;0.1;0.1;0.1;1.9;1.9;9.7;9.7;-0.1;0.0;0.9;0.9;0.0;0.0;9.2;9.2;10.4;7.8;7.6;7.6;46.0;46.0;0.0;0.4;5.6;5.6;0.8;0.8;0.8;0.1;0.1;0.0;0.0;0.0;17.3;17.3;-2.6;-2.6;6.3;6.3;-1.0;-1.0;57.4;57.4;0.0;0.2;0.2;2.1;2.1;2.1;-0.1;-0.1;-2.2;195.4;195.5;22.6;28.5;1253.2;-4.0;380.1;370.4;54.0;20.0;28.5;-39.5;19.9;-41.9;49.4;26.1;25.4;44.2;-141.8;-107.6;7.2;0.0;19.7;9.1;-2.3;16.2;12.1;-2.9;7.9;10.8;62.2;8.0;8.0;7.8;392.1;399.7;394.6;387.2;7.8;18.1;17.0;4.3;-489.2;-482.2;127.3;-291.4;-44.2;122.0;876.5;12.8;0.0;20.5;40.9;-70.7;85.1;101.1;723.3;722.0;-0.5;-143.3;-630.2;39.9;39.9;411.4;0.9;-1.1;0.1;128.2;0.0;0.0;0.0;32.0;31.7;34.7;35.2;8.4;8.4;0.1;435.4;558.2;12.8;13.4;58.6;16.1;-0.0;16.1;-76.8;-61.4;-88.3;-140.3;26.8;26.5;28.3;14.4;9.0;0.8;0.0;-182.6;8.0;-516.9;12.5;-5.8;-12.3;-12.3;-1.6;0.0;0.1;3.8;9.9;0.0
2.6;2.6;7.6;7.6;0.1;0.1;0.1;0.1;15.9;0.3;5.4;31.0;31.0;38.0;25.6;4.4;4.4;6.4;6.4;1.4;10.6;7.5;9.7;9.6;9.6;-0.1;-0.1;-0.4;13.7;13.7;13.7;-0.2;-0.2;0.0;0.0;0.0;0.0;0.9;0.9;10.8;12.2;12.2;9.2;0.0;-1.1;-0.3;-0.3;0.3;6.1;6.1;0.0;0.0;0.2;0.2;0.2;1.5;1.5;10.1;10.1;-0.5;0.0;1.4;1.4;0.0;0.0;9.8;9.8;9.9;7.4;8.0;8.0;46.0;46.0;0.0;0.5;5.8;5.8;0.8;0.8;0.8;0.1;0.1;0.0;0.0;0.1;17.7;17.7;-2.5;-2.5;6.4;6.4;-1.2;-1.2;57.4;57.4;0.0;0.2;0.2;1.8;1.8;1.8;0.3;0.3;-2.4;190.6;190.7;21.4;29.4;1244.0;-4.0;392.2;382.2;54.0;16.2;29.8;-40.7;16.2;-36.9;49.7;26.3;25.7;44.0;-140.3;-107.7;7.0;0.0;19.9;9.4;-1.8;16.2;12.6;-2.5;8.1;11.4;74.3;7.9;8.0;7.8;406.4;413.9;408.6;401.2;7.7;18.1;17.0;4.8;-495.6;-488.6;128.0;-280.5;-42.5;121.2;872.2;12.8;0.0;19.5;39.9;-88.5;80.0;95.1;724.4;723.2;-1.0;-146.8;-616.0;40.3;40.4;401.4;0.9;-2.3;0.1;127.2;0.0;0.0;0.0;31.6;31.3;35.9;36.5;8.6;8.6;0.2;422.3;540.7;14.1;14.8;59.0;16.6;0.0;16.6;-82.0;-64.4;-98.2;-143.1;27.4;27.1;29.0;14.7;8.9;0.8;0.0;-178.9;1.1;-508.7;12.3;-4.0;-10.8;-10.9;-10.4;0.0;0.1;4.3;9.9;0.0
1.8;1.8;7.7;7.7;0.1;0.1;0.1;0.1;16.0;0.0;1.7;31.0;31.0;38.0;30.3;3.8;3.8;6.0;6.0;1.5;11.6;8.2;10.1;9.1;9.1;0.0;0.0;0.2;12.9;12.9;12.9;-0.1;-0.1;0.0;0.0;0.0;0.0;0.4;0.4;11.8;11.8;11.8;9.3;0.0;-1.2;0.7;0.7;0.5;5.7;5.7;0.0;0.0;0.2;0.2;0.2;1.9;1.9;9.9;9.9;-0.3;0.0;1.3;1.3;0.3;0.3;9.5;9.5;10.9;8.1;8.0;8.0;46.0;46.0;0.0;0.4;5.8;5.8;0.8;0.8;0.8;0.1;0.1;0.0;0.0;0.0;17.6;17.6;-1.7;-1.7;6.6;6.6;-1.4;-1.4;57.2;57.2;0.0;0.2;0.2;0.8;0.8;0.8;0.2;0.2;-1.9;163.3;163.4;22.5;29.9;1241.4;-4.0;352.1;343.1;53.9;13.8;20.3;-36.3;13.8;-32.6;51.7;26.2;25.5;44.8;-136.3;-96.9;7.0;0.0;20.2;9.4;-2.9;16.2;12.6;-3.4;8.2;11.1;34.6;7.8;7.8;7.6;442.7;454.3;448.5;437.1;7.5;18.2;17.1;4.5;-519.9;-511.2;130.4;-320.6;-66.3;107.3;898.7;13.1;0.0;20.3;40.2;-94.8;68.7;81.9;768.5;766.5;-0.9;-162.7;-627.3;40.8;40.8;365.8;0.9;-0.0;5.0;113.8;0.0;0.0;0.0;32.1;31.7;36.1;36.6;8.6;8.6;0.1;432.0;558.7;11.9;12.5;64.6;16.9;0.0;16.9;-80.6;-61.6;-93.5;-141.0;26.7;26.4;28.2;14.3;9.2;0.8;0.0;-193.9;5.4;-560.1;12.7;-5.2;-12.4;-12.5;-4.9;0.0;0.1;3.9;10.1;0.0
2.4;2.4;7.2;7.2;0.0;0.0;0.0;0.0;14.7;0.0;0.8;31.0;31.0;38.0;29.9;4.4;4.4;6.1;6.1;2.6;11.1;7.4;9.2;8.6;8.6;-0.3;-0.3;0.0;12.5;12.5;12.5;-2.2;-2.2;0.0;0.0;0.0;-0.1;1.1;1.1;13.5;11.3;11.3;8.8;0.0;-1.3;0.1;0.1;0.0;5.2;5.2;0.0;0.0;0.2;0.2;0.2;1.9;1.9;10.2;10.2;0.0;0.0;0.6;0.6;0.1;0.1;9.3;9.3;10.1;7.3;7.3;7.3;46.0;46.0;0.0;0.4;5.4;5.4;0.7;0.7;0.7;0.5;0.5;0.0;0.0;0.0;16.5;16.5;-2.2;-2.2;6.0;6.0;-0.5;-0.5;56.8;56.8;0.0;0.2;0.2;0.7;0.7;0.7;0.0;0.0;-0.7;167.9;168.0;22.8;30.1;1258.7;-4.0;358.7;349.5;54.3;13.4;20.3;-32.7;13.3;-36.7;50.9;25.4;25.4;44.4;-133.6;-94.8;7.3;0.0;19.6;9.0;-2.2;15.4;12.0;-2.7;7.8;10.8;36.5;7.4;7.4;7.2;439.6;453.3;447.5;434.0;7.2;18.2;17.0;4.5;-515.5;-506.2;136.8;-305.9;-51.7;109.4;909.0;12.2;0.0;20.6;39.4;-99.2;64.8;77.2;777.3;775.0;-0.6;-166.5;-639.1;41.0;41.1;362.5;0.9;-0.0;4.9;115.9;0.0;0.0;0.0;30.8;30.4;34.8;35.3;8.3;8.3;0.1;434.2;560.9;10.7;11.2;65.4;16.1;-0.0;16.1;-83.1;-67.1;-97.8;-150.2;27.0;26.7;28.6;14.1;9.2;0.7;0.0;-196.7;-0.6;-567.7;12.6;-6.0;-12.3;-12.4;-8.6;0.0;-0.0;4.0;10.0;0.0
2.3;2.3;6.8;6.8;0.2;0.2;0.2;0.2;14.7;0.0;2.1;31.0;31.0;38.0;23.7;3.3;3.3;6.1;6.1;2.6;11.0;7.2;8.1;8.8;8.8;-0.1;-0.1;-0.1;12.5;12.5;12.5;-0.1;-0.1;0.0;0.0;0.0;0.3;0.1;0.1;7.6;11.4;11.4;9.4;0.0;-1.9;0.0;0.0;0.6;5.2;5.2;0.0;0.0;0.5;0.5;0.5;1.3;1.3;10.2;10.2;-0.4;0.0;1.5;1.5;0.0;0.0;9.4;9.4;11.3;7.6;6.9;6.9;46.0;46.0;0.0;0.4;5.3;5.3;0.6;0.6;0.6;0.1;0.1;0.0;0.0;0.1;16.2;16.2;-1.7;-1.7;6.0;6.0;-1.6;-1.6;57.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;-1.6;162.7;162.8;20.8;29.2;1223.1;-4.0;376.9;367.2;50.9;13.1;15.6;-31.1;13.1;-32.1;50.7;25.7;25.7;43.8;-131.6;-88.9;7.1;0.0;19.0;8.8;-3.0;15.4;11.6;-3.5;7.5;10.5;45.9;7.6;7.7;7.5;456.4;467.5;461.6;450.7;7.5;19.1;17.0;5.4;-494.3;-486.1;139.5;-250.5;1.1;108.8;912.3;11.8;0.0;19.0;37.4;-134.4;43.7;52.5;812.6;810.7;-1.2;-179.6;-684.2;38.8;38.8;318.7;0.9;0.0;3.3;115.1;0.0;0.0;0.0;29.4;29.0;34.5;34.9;8.3;8.2;0.1;402.3;527.8;11.6;12.2;69.1;15.4;0.0;15.4;-92.5;-70.8;-113.6;-156.7;27.3;27.0;28.8;13.0;9.3;0.6;0.0;-193.0;12.0;-560.6;12.4;-6.5;-13.4;-13.6;-12.4;0.0;0.0;4.8;10.0;0.0
1.8;1.8;6.2;6.2;0.0;0.0;0.0;0.0;14.3;0.0;2.1;31.0;31.0;38.0;25.4;2.8;2.8;5.8;5.8;0.5;11.1;6.9;8.8;9.1;9.1;0.9;0.9;-0.2;12.5;12.5;12.5;-2.4;-2.4;0.0;0.0;0.0;-0.2;0.3;0.3;11.0;10.8;10.8;9.3;0.0;-1.1;-0.3;-0.3;2.3;5.2;5.2;0.0;0.0;0.2;0.2;0.2;1.4;1.4;9.9;9.9;0.0;0.0;1.3;1.3;0.2;0.2;9.1;9.1;10.9;7.7;7.4;7.4;46.0;46.0;0.0;0.6;5.2;5.2;0.8;0.8;0.8;0.4;0.4;0.0;0.0;0.1;16.0;16.0;-1.6;-1.6;6.1;6.1;-0.8;-0.8;57.2;57.2;0.0;0.1;0.1;1.6;1.6;1.6;0.0;0.0;0.0;165.5;165.6;21.7;28.4;1204.1;-4.0;390.1;380.1;50.8;13.5;15.5;-29.1;13.4;-33.8;50.7;25.8;25.7;43.7;-132.4;-89.5;7.0;0.0;19.0;8.8;-3.1;15.4;11.7;-3.6;7.5;10.5;60.8;7.8;7.8;7.6;456.2;469.1;463.1;450.5;7.6;18.0;17.0;5.0;-473.1;-464.6;130.5;-233.2;15.6;105.3;892.0;11.3;0.0;19.6;38.1;-133.9;43.9;52.7;786.6;784.3;-2.1;-178.5;-697.8;40.2;40.2;326.3;0.9;0.0;4.6;111.4;-0.0;0.0;0.0;26.5;26.2;32.6;33.0;7.9;7.9;0.2;387.9;511.8;11.4;11.9;69.5;15.9;0.0;15.9;-87.7;-69.7;-106.3;-155.7;26.6;26.4;28.2;12.9;8.9;0.8;0.0;-188.6;11.8;-544.7;11.7;-6.5;-13.7;-13.8;-12.3;0.0;-0.0;4.5;9.3;0.2
2.5;2.5;6.1;6.1;0.2;0.2;0.2;0.2;14.3;0.0;0.6;31.0;31.0;38.0;24.5;3.8;3.8;5.8;5.8;3.3;11.9;7.4;9.4;9.2;9.2;-0.2;-0.2;0.1;12.3;12.3;12.3;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;9.9;11.6;11.6;10.0;0.0;-1.7;-0.1;-0.1;-0.1;5.4;5.4;0.0;0.0;0.2;0.2;0.2;1.3;1.3;10.2;10.2;-0.2;0.0;1.7;1.7;0.0;0.0;8.6;8.6;10.2;5.3;7.9;7.9;46.0;46.0;0.0;0.3;5.2;5.2;0.7;0.7;0.7;0.4;0.4;0.0;0.0;0.0;15.9;15.9;-2.2;-2.2;6.4;6.4;-1.9;-1.9;57.3;57.3;0.0;0.0;0.0;1.7;1.7;1.7;0.1;0.1;-4.0;167.5;167.6;22.0;28.8;1236.5;-4.0;355.7;346.6;51.2;12.9;15.2;-27.6;12.9;-34.4;52.4;26.4;25.8;45.0;-134.8;-90.5;7.7;0.0;18.9;8.8;-2.4;14.6;11.7;-3.0;7.5;10.5;30.3;7.8;7.8;7.6;456.5;476.0;469.9;450.8;7.6;18.0;16.2;6.1;-492.4;-481.4;132.0;-269.9;-3.6;107.1;907.2;11.3;0.0;19.8;38.1;-117.3;55.9;66.8;800.3;797.0;-0.8;-180.1;-709.1;39.8;39.8;338.5;0.9;-0.0;5.2;113.4;0.0;0.0;0.0;27.5;27.2;33.3;33.8;8.1;8.1;0.2;407.6;540.0;12.8;13.9;72.0;15.5;0.0;15.5;-80.0;-63.2;-91.1;-146.6;27.3;27.0;28.8;13.4;8.9;0.7;0.0;-196.9;11.4;-571.1;12.5;-7.3;-13.8;-13.9;-12.6;0.0;0.0;5.5;9.9;0.0
1.8;1.8;6.2;6.2;0.1;0.1;0.1;0.1;14.5;0.1;4.2;31.0;31.0;38.0;23.8;3.5;3.5;5.7;5.7;1.0;12.2;7.3;9.7;10.0;10.0;-0.1;-0.1;-0.3;12.8;12.8;12.8;-0.4;-0.4;0.0;0.0;0.0;0.7;0.0;0.0;10.9;11.6;11.6;11.5;0.0;-2.0;0.0;0.0;-0.8;5.7;5.7;0.0;0.0;0.2;0.2;0.2;1.4;1.4;10.4;10.4;-0.4;0.0;1.0;1.0;0.3;0.3;8.5;8.5;12.0;6.5;7.9;7.9;46.0;46.0;0.0;0.5;5.2;5.2;0.7;0.7;0.7;0.4;0.0;0.0;0.0;0.0;16.9;16.9;-1.9;-1.9;6.2;6.2;-0.9;-0.9;57.1;57.1;0.0;0.1;0.1;0.9;0.9;0.9;0.2;0.2;0.2;167.9;168.1;22.8;31.1;1179.7;-4.1;374.4;364.8;54.1;15.7;13.1;-26.4;15.7;-36.2;53.3;26.6;26.6;47.0;-142.5;-92.7;8.1;0.0;19.8;9.0;-2.4;15.4;11.9;-2.9;7.7;10.5;43.4;8.3;8.4;8.1;480.3;506.2;499.7;474.3;8.1;18.1;16.3;6.0;-461.9;-449.2;138.2;-224.1;49.1;107.4;894.4;11.2;0.0;20.4;37.5;-165.8;53.7;64.8;794.8;790.3;-1.5;-187.3;-787.5;41.9;42.0;318.3;0.0;-1.1;10.5;113.7;0.0;-0.0;0.0;30.7;30.4;35.3;35.8;8.4;8.4;0.1;367.3;503.0;14.3;15.0;78.9;15.8;0.0;15.8;-80.1;-61.0;-89.9;-145.4;28.2;27.9;29.8;13.8;9.2;0.7;0.0;-193.9;11.6;-561.1;12.4;-6.9;-14.8;-14.9;-6.8;0.0;-0.0;5.4;9.9;0.0
3.1;3.1;6.6;6.6;0.1;0.1;0.1;0.1;14.9;-0.8;-0.8;31.0;31.0;38.0;25.8;3.6;3.6;5.9;5.9;1.1;12.5;7.2;10.1;10.1;10.1;-0.1;-0.1;-0.8;13.4;13.4;13.4;-0.4;-0.4;0.2;0.0;0.0;0.8;0.4;0.4;12.1;11.9;11.9;11.8;0.0;-0.6;-0.3;-0.3;-1.2;5.9;5.9;0.0;0.0;0.2;0.2;0.2;1.9;1.9;11.2;11.2;-0.3;0.0;1.4;1.4;0.5;0.5;9.0;9.0;12.7;7.8;8.0;8.0;46.0;46.0;0.0;0.3;5.4;5.4;0.7;0.7;0.7;0.0;0.0;0.0;0.0;0.0;17.9;17.9;-2.7;-2.7;6.2;6.2;-1.5;-1.5;56.9;56.9;1.2;0.1;0.1;1.9;1.9;1.9;0.3;0.3;-1.7;178.1;178.2;24.7;32.9;1216.3;-4.0;343.8;335.0;55.9;16.4;22.8;-26.8;16.3;-43.1;55.4;28.5;27.8;49.1;-153.2;-105.3;8.5;0.0;20.8;8.8;-0.7;16.2;11.8;-1.4;7.6;11.1;20.6;8.9;9.0;8.7;457.0;484.1;477.9;451.2;8.7;18.1;17.0;6.8;-488.0;-474.6;124.9;-279.1;6.5;108.8;899.8;11.7;0.0;22.2;42.3;-130.1;70.8;84.8;764.1;759.5;-0.6;-180.9;-774.2;43.3;43.4;407.2;0.0;-1.1;11.6;115.5;0.0;0.0;0.0;32.4;32.1;37.7;38.3;8.9;8.9;0.1;423.9;565.5;16.2;17.0;78.6;15.8;0.0;15.8;-80.6;-60.1;-88.9;-144.6;29.8;29.4;31.5;15.3;9.3;0.7;0.0;-198.1;-0.1;-570.6;12.7;-6.1;-14.3;-14.2;-7.0;0.0;-0.0;6.1;10.2;0.0
