BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
932.9;936.7;874.0;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.5;61.0;60.7;1333.2;1306.5;38.3;0.0;12.5;11.8;10.6;0.0;0.0;0.0;0.0;0.0;0.0
929.7;933.2;870.2;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.8;60.3;59.9;1335.2;1308.5;38.5;0.0;17.1;16.2;13.9;0.0;0.0;0.0;0.0;0.0;0.0
934.3;937.7;875.0;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.6;60.1;59.6;1333.0;1309.4;38.6;0.0;14.2;14.7;13.8;0.0;0.0;0.0;0.0;0.0;0.0
930.7;933.9;870.3;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.9;1335.0;1311.4;38.7;0.0;12.6;13.6;12.4;0.0;0.0;0.0;0.0;0.0;0.0
934.6;935.7;875.0;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.2;1335.5;1312.2;39.1;0.0;13.1;15.2;12.2;0.0;0.0;0.0;0.0;0.0;0.0
933.8;939.1;873.3;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.0;1330.8;1311.2;38.5;0.0;14.9;16.2;12.6;0.0;0.0;0.0;0.0;0.0;0.0
930.8;937.1;879.2;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.4;1334.9;1311.2;38.6;0.0;14.8;15.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0
932.1;936.0;894.4;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.3;1335.6;1312.0;38.6;0.0;16.1;17.5;13.5;0.0;0.0;0.0;0.0;0.0;0.0
934.7;938.0;907.4;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.4;0.0;58.4;1337.8;1314.5;38.5;0.0;14.5;15.7;19.2;0.0;0.0;0.0;0.0;0.0;0.0
932.8;937.4;912.0;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.6;0.0;60.2;1336.7;1313.0;38.8;0.0;15.4;19.3;14.1;0.0;0.0;0.0;0.0;0.0;0.0
934.5;938.9;916.8;918.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.1;0.0;58.0;1339.6;1315.6;38.2;0.0;14.7;16.5;12.7;0.0;0.0;0.0;0.0;0.0;0.0
