BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
23.5;24.0;23.5;24.0;65.2;65.2;65.2;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.5;33.0;33.0;65.7;65.7;65.7;63.0;63.0;10.0;10.0;10.0;10.0
23.5;24.0;23.5;24.0;65.3;65.3;65.3;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.4;33.0;33.0;65.6;65.6;65.6;63.0;63.0;10.0;10.0;10.0;10.0
23.5;24.0;23.5;24.0;65.4;65.4;65.4;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.4;33.0;33.0;65.7;65.7;65.7;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.7;24.0;65.4;65.4;65.4;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.5;33.0;33.0;65.6;65.6;65.6;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.7;24.0;65.3;65.3;65.3;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.3;33.0;33.0;65.6;65.6;65.6;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.7;24.0;65.4;65.4;65.4;63.0;63.0;15.0;15.0;15.0;15.0;14.4;14.4;19.5;19.4;33.0;33.0;65.6;65.6;65.6;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.7;24.0;65.4;65.4;65.4;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.4;33.0;33.0;65.6;65.6;65.6;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.6;24.0;65.5;65.5;65.5;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.5;33.0;33.0;65.6;65.6;65.6;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.7;24.0;65.1;65.1;65.1;63.0;63.0;15.0;14.9;15.0;15.0;14.4;14.4;19.5;19.5;33.0;33.0;65.6;65.6;65.6;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.6;24.0;65.3;65.3;65.3;65.3;65.3;14.9;14.9;15.0;15.0;14.4;14.4;19.5;19.5;33.0;33.0;65.7;65.7;65.7;65.7;65.7;10.0;10.0;10.0;10.0
