BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
23.8;24.0;23.8;24.0;64.9;64.9;64.9;63.0;63.0;15.1;15.0;15.0;15.0;15.0;14.6;19.5;19.6;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;10.0;10.4
23.9;24.0;23.9;24.0;64.9;64.9;64.9;63.0;63.0;15.1;15.0;15.0;15.0;15.0;14.5;19.6;19.6;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;10.0;10.4
23.9;24.0;23.9;24.0;64.9;64.9;64.9;63.0;63.0;15.1;15.0;15.0;15.0;15.0;14.6;19.6;19.6;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.0;10.0;10.4
23.8;24.0;23.8;24.0;65.0;65.0;65.0;63.0;63.0;15.1;15.0;15.0;15.0;15.0;14.6;19.6;19.5;33.0;33.0;65.2;65.2;65.2;63.0;63.0;10.0;10.0;10.0;10.5
23.7;24.0;23.7;24.0;65.0;65.0;65.0;63.0;63.0;15.1;15.0;15.0;15.0;15.0;14.6;19.6;19.6;33.0;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.0
23.7;24.0;23.7;24.0;65.1;65.1;65.1;63.0;63.0;15.1;15.0;15.0;15.0;15.0;14.6;19.5;19.6;33.0;33.0;65.3;65.3;65.3;63.0;63.0;10.0;10.0;10.0;10.0
23.8;24.0;23.9;24.0;64.8;64.8;64.8;63.0;63.0;15.1;15.0;15.0;15.0;15.0;14.6;19.5;19.6;33.0;33.0;65.1;65.1;65.1;63.0;63.0;10.0;10.0;10.0;10.0
23.6;24.0;23.6;24.0;64.5;64.5;64.5;63.0;63.0;15.0;15.0;15.0;15.4;15.0;14.3;19.5;19.5;33.0;33.0;64.9;64.9;64.9;63.0;63.0;10.0;10.0;10.0;10.0
23.7;24.0;23.7;24.0;64.2;64.2;64.2;63.0;63.0;15.4;15.0;15.0;15.3;14.8;14.8;19.5;19.6;33.0;33.0;64.8;64.8;64.8;63.0;63.0;10.0;10.0;10.2;10.0
24.2;24.0;24.2;24.0;64.1;64.1;64.1;63.0;63.0;15.4;15.5;15.0;15.3;14.9;14.8;19.5;19.6;33.0;33.0;65.0;65.0;65.0;63.0;63.0;10.0;10.0;10.2;10.0
24.2;24.0;24.2;24.0;63.7;63.7;63.7;63.7;63.7;15.5;15.5;15.0;15.5;14.9;14.9;19.5;19.6;33.0;33.0;64.8;64.8;64.8;64.8;64.8;10.0;10.2;10.3;10.0
24.3;24.0;24.3;24.0;62.9;62.9;62.9;62.9;62.9;15.5;15.5;15.0;15.5;15.0;15.0;19.5;19.5;33.0;33.0;64.5;64.5;64.5;64.5;64.5;10.0;10.3;10.2;10.2
24.1;24.0;24.2;24.0;62.9;62.9;62.9;62.9;62.9;15.5;15.5;15.0;15.5;15.0;15.0;19.5;19.6;33.0;33.0;64.5;64.5;64.5;64.5;64.5;10.0;10.3;10.2;10.2
24.0;24.0;24.0;24.0;62.8;62.8;62.8;62.8;62.8;15.5;15.7;15.0;15.7;15.1;15.0;19.5;19.6;33.0;33.0;64.5;64.5;64.5;64.5;64.5;10.0;10.3;10.2;10.2
23.9;24.0;23.9;24.0;62.7;62.7;62.7;62.7;62.7;15.4;15.0;15.0;15.0;15.0;14.8;19.5;19.5;33.0;33.0;64.5;64.5;64.5;64.5;64.5;10.0;10.5;10.1;10.0
23.9;24.0;23.9;24.0;62.6;62.6;62.6;62.6;62.6;15.3;15.0;15.0;15.0;15.0;14.7;19.5;19.5;33.0;33.0;64.5;64.5;64.5;64.5;64.5;10.0;10.0;10.0;10.0
24.2;24.0;24.2;24.0;62.3;62.3;62.3;62.3;62.3;15.4;15.0;15.0;15.0;15.0;14.9;19.5;19.5;33.0;33.0;64.2;64.2;64.2;64.2;64.2;10.0;10.0;10.0;10.0
24.4;24.0;24.4;24.0;62.6;62.6;62.6;62.6;62.6;15.5;15.0;15.0;15.0;15.0;14.9;19.5;19.5;33.0;33.0;64.6;64.6;64.6;64.6;64.6;10.0;10.0;10.0;10.0
24.3;24.0;24.3;24.0;62.5;62.5;62.5;62.5;62.5;15.8;15.0;15.0;15.0;15.0;15.3;19.6;19.6;33.0;33.0;64.6;64.6;64.6;64.6;64.6;10.0;10.0;10.0;10.0
24.4;24.0;24.4;24.0;62.6;62.6;62.6;62.6;62.6;15.9;15.0;15.0;15.0;15.0;15.4;19.6;19.7;33.0;33.0;64.7;64.7;64.7;64.7;64.7;10.0;10.0;10.0;10.5
