AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;BXNE53G1;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA
-1.9;-1.9;-1.1;-1.1;0.3;0.3;0.3;0.3;-0.5;-12.8;-7.5;13.0;11.2;16.0;0.0;-1.9;-1.9;0.0;-1.6;-1.6;-2.1;-0.2;-0.9;-0.2;-0.3;-0.3;0.4;0.4;1.2;-2.0;0.0;-2.0;0.7;0.7;-0.2;0.0;0.0;-3.3;-1.0;-1.0;-3.5;3.8;3.8;-1.9;-1.4;0.0;-0.2;-0.2;1.4;1.3;1.3;-1.0;-1.0;0.3;0.3;0.3;-1.6;-1.6;-0.1;-0.1;1.5;0.0;0.0;0.0;-0.5;-0.5;0.0;0.0;0.8;0.8;-0.7;-0.7;20.0;20.0;0.2;0.2;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-1.3;-0.9;-10.7;1.1;1.1;1.3;1.3;-0.0;-0.0;0.4;0.4;26.7;26.7;0.0;-0.2;-0.2;-4.3;-4.3;-4.3;0.2;0.2;-8.1;0.0;-39.4;-4.8;0.0;1.8;0.1;-126.3;-124.5;-1.4;-50.9;-2.3;16.8;-4.9;0.0;14.6;6.8;4.6;-22.3;40.1;0.0;31.3;0.0;0.0;-1.7;-6.4;-0.8;-3.8;-6.4;-2.6;-2.7;-41.1;0.7;0.7;0.6;0.0;-0.0;-0.2;-0.2;0.4;-1.9;-1.2;9.2;-2.9;-3.3;-19.4;-16.5;-22.0;-8.6;8.4;0.0;0.0;-4.5;0.1;9.9;-91.2;0.0;0.0;-19.7;0.1;21.5;-14.1;-1.7;-1.9;-95.8;-0.0;0.0;15.5;-10.5;67.5;67.4;0.0;-7.9;-8.9;-2.8;-12.6;2.2;2.2;66.9;-80.8;-81.9;-14.9;-5.7;-9.5;1.4;-2.6;1.4;0.0;-8.4;-24.5;-16.8;-3.5;0.0;-3.7;-4.4;-0.5;-1.1;0.0;23.7;-7.1;31.0;3.2;-2.1;-4.0;-3.8;-5.1;-0.5;68.3;8.1;1.8
-0.8;-0.8;-1.5;-1.5;0.2;0.2;0.2;0.2;-0.7;-12.3;-6.6;13.0;12.1;16.0;0.0;-1.8;-1.8;0.0;-1.6;-1.6;-2.3;-0.2;-1.7;-0.4;-0.1;-0.1;0.5;0.5;1.2;-2.4;0.0;-2.4;0.9;0.9;0.7;0.0;0.0;-2.7;-0.3;-0.3;-1.2;5.5;5.5;-1.5;-0.9;0.0;-0.0;-0.0;1.5;1.3;1.3;-0.9;-0.9;0.2;0.2;0.2;-1.7;-1.7;0.0;0.0;1.3;0.0;-0.2;-0.2;-0.4;-0.4;0.1;0.1;0.2;0.2;-0.4;-0.4;20.0;20.0;0.2;0.2;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-0.5;-0.3;-12.9;1.5;1.5;0.4;0.4;-0.2;-0.2;0.2;0.2;26.6;26.6;0.0;-0.2;-0.2;-4.3;-4.3;-4.3;-0.0;-0.0;-7.5;0.0;-42.5;-5.4;0.0;6.0;0.1;-128.4;-126.6;-1.5;-51.0;-4.8;18.5;-4.9;0.0;14.6;6.6;4.4;-22.4;46.7;0.0;6.5;-0.0;0.0;-1.9;-6.4;-0.8;-3.9;-6.5;-2.6;-2.7;-33.8;0.9;0.9;0.4;0.0;6.8;6.6;6.5;0.2;-1.5;-1.2;9.0;-13.8;-14.0;-9.4;-10.2;-17.5;-7.9;13.2;0.0;0.0;-5.0;-0.4;-3.8;-95.5;0.0;0.0;9.6;0.9;11.9;-31.1;-1.7;-2.0;-99.0;-0.0;0.0;15.6;-9.8;67.4;67.9;0.0;-2.9;-4.0;-1.2;-11.6;2.6;2.6;67.6;-81.2;-83.0;-15.2;-6.0;-7.2;0.3;-3.0;0.3;0.0;-8.7;-24.1;-16.9;-9.5;0.0;0.5;-5.1;-0.4;-2.2;0.0;22.9;-7.2;27.0;2.8;-1.8;-2.5;-2.4;-5.3;-0.5;68.9;8.0;1.4
-0.5;-0.5;-1.5;-1.5;0.3;0.3;0.3;0.3;-0.8;-13.8;-8.1;13.0;11.6;16.0;0.0;-1.7;-1.7;0.0;-1.8;-1.8;-0.8;-0.5;-2.3;-0.6;-0.4;-0.4;0.4;0.4;1.3;-2.6;0.0;-2.6;-2.0;-2.0;0.4;0.0;0.0;-2.9;-0.6;-0.6;-4.1;3.2;3.2;-1.6;-1.6;0.0;-0.1;-0.1;1.6;1.7;1.7;-0.8;-0.8;0.2;0.2;0.2;-1.9;-1.9;-0.2;-0.2;1.2;0.0;-0.3;-0.3;-0.5;-0.5;0.1;0.1;0.4;0.4;-0.5;-0.5;20.0;20.0;0.3;0.3;-1.3;-1.3;0.0;0.0;0.0;0.0;0.0;-0.6;-0.4;-8.7;1.1;1.1;0.2;0.2;-0.1;-0.1;0.7;0.7;27.0;27.0;0.0;-0.2;-0.2;-4.1;-4.1;-4.1;-0.1;-0.1;-7.0;0.0;-47.4;-5.4;0.0;-1.3;0.1;-124.5;-122.8;-1.5;-49.0;-5.9;19.4;-4.9;0.0;13.7;6.8;4.6;-22.3;47.3;0.0;7.2;-0.0;0.0;-2.1;-6.2;-1.2;-3.9;-6.1;-2.6;-2.8;-32.5;1.4;1.4;0.4;0.0;16.6;16.2;16.2;0.3;-1.7;-1.2;8.9;-10.6;-10.9;-16.2;-6.8;-15.2;-11.2;9.3;0.0;0.0;-5.0;-0.4;3.0;-98.7;0.0;0.0;9.1;0.6;10.4;-24.2;-8.1;2.1;-96.6;-0.0;0.0;15.3;-13.0;67.4;68.1;0.0;-4.7;-5.7;-6.3;-10.9;2.8;2.8;67.8;-73.8;-75.5;-7.3;-7.8;-6.5;0.4;-3.8;0.4;0.0;-9.0;-23.7;-17.2;-9.4;0.0;0.6;-4.9;-0.3;-1.2;0.0;24.7;-7.4;31.6;3.3;-1.9;-2.5;-2.0;-5.4;-0.5;69.1;7.9;2.0
-1.0;-1.0;-1.6;-1.6;0.2;0.2;0.2;0.2;-1.0;-13.7;-8.0;13.0;11.1;16.0;0.0;-1.9;-1.9;0.0;-1.4;-1.4;-0.9;-0.3;-1.7;-0.5;-0.3;-0.3;0.5;0.5;1.0;-2.6;0.0;-2.6;-0.2;-0.2;0.6;0.0;0.0;-3.5;-0.3;-0.3;-4.4;3.7;3.7;-1.8;-1.7;0.0;0.0;0.0;1.8;0.9;0.9;-1.1;-1.1;0.2;0.2;0.2;-1.6;-1.6;-0.2;-0.2;1.5;0.0;0.2;0.2;-0.6;-0.6;-0.1;-0.1;0.1;0.1;-0.4;-0.4;20.0;20.0;0.2;0.2;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-0.6;-0.4;-10.8;1.1;1.1;0.5;0.5;-0.2;-0.2;-0.3;-0.3;27.2;27.2;0.0;-0.2;-0.2;-4.4;-4.4;-4.4;0.0;0.0;-4.4;0.0;-46.1;-5.1;0.0;-1.5;0.1;-145.6;-143.3;-1.1;-48.9;-7.7;19.8;-4.9;0.0;13.3;6.5;4.3;-22.3;50.3;0.0;6.2;-0.0;0.0;-2.0;-6.3;-1.6;-3.7;-5.9;-2.5;-2.8;-40.2;1.2;1.2;1.0;0.0;8.1;7.8;7.8;0.7;-2.0;-1.2;8.9;-11.1;-11.4;-16.2;-20.7;-27.2;-11.9;8.9;0.0;0.0;-4.7;-0.6;1.1;-100.4;0.0;0.0;0.2;0.3;13.1;-34.2;-8.1;2.1;-92.5;-0.0;0.9;14.5;-13.8;67.3;68.1;0.0;-4.9;-5.9;-6.3;-10.9;2.8;2.8;67.8;-70.3;-70.9;-14.9;-5.6;-9.6;0.5;-3.6;0.5;0.0;-4.7;-24.9;-19.5;-5.3;0.0;-5.5;-4.6;-0.7;-1.7;0.0;25.0;-7.3;29.6;2.3;-2.8;-4.3;-4.1;-5.4;-0.5;69.1;8.0;1.0
-0.7;-0.7;-1.6;-1.6;0.2;0.2;0.2;0.2;-1.0;-13.6;-7.6;13.0;10.5;16.0;0.0;-1.9;-1.9;0.0;-1.5;-1.5;-2.9;-0.1;-0.4;-0.1;-1.0;-1.0;0.4;0.4;0.8;-2.9;0.0;-2.9;0.8;0.8;0.7;0.0;0.0;-3.4;0.0;0.0;-3.3;4.0;4.0;-1.9;-1.6;0.0;-0.1;-0.1;1.4;1.0;1.0;-1.0;-1.0;-0.0;-0.0;-0.0;-1.3;-1.3;-0.1;-0.1;1.5;0.0;-0.2;-0.2;-0.4;-0.4;-0.1;-0.1;-0.4;-0.4;0.0;0.0;20.0;20.0;0.5;0.5;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-0.6;-0.4;-10.2;0.9;0.9;0.3;0.3;0.0;0.0;0.2;0.2;26.8;26.8;0.0;-0.2;-0.2;-4.4;-4.4;-4.4;0.3;0.3;-3.7;0.0;-46.1;-5.7;0.0;-15.9;0.1;-142.3;-140.1;-0.8;-48.6;-7.1;18.4;-4.9;0.0;12.0;6.5;4.3;-21.3;50.3;0.0;5.6;0.0;0.0;-2.1;-6.3;-1.2;-3.8;-6.2;-2.6;-2.8;-36.7;1.0;1.0;1.0;0.0;2.6;2.4;2.4;0.7;-1.8;-1.2;8.7;-2.8;-3.2;-16.2;-22.3;-30.5;-11.6;2.2;0.0;0.0;-5.3;-0.8;1.8;-97.7;0.0;0.0;5.6;1.5;14.7;-29.0;-8.2;1.9;-90.6;-0.0;0.0;16.2;-13.4;67.2;68.0;0.0;-9.6;-10.5;-7.7;-11.6;2.6;2.6;67.7;-69.5;-69.8;-14.5;-5.2;-10.1;0.3;-3.3;0.3;0.0;-4.6;-24.2;-19.1;-5.2;0.0;-5.5;-4.7;-1.1;-2.3;0.0;27.3;-7.5;32.6;2.4;-2.9;-4.4;-4.2;-5.4;-0.5;68.8;7.7;1.5
-1.0;-1.0;-1.4;-1.4;0.2;0.2;0.2;0.2;-0.9;-13.2;-7.4;13.0;10.8;16.0;0.0;-1.9;-1.9;0.0;-1.6;-1.6;-1.5;-0.3;-1.5;-0.4;-0.8;-0.8;0.5;0.5;0.8;-3.2;0.0;-3.2;0.7;0.7;0.5;0.0;0.0;-3.2;-0.8;-0.8;-3.4;4.1;4.1;-1.4;-1.5;0.0;0.3;0.3;1.0;1.0;1.0;-1.0;-1.0;0.3;0.3;0.3;-1.5;-1.5;0.4;0.4;1.4;0.0;-0.3;-0.3;-0.3;-0.3;-0.4;-0.4;0.3;0.3;-0.7;-0.7;20.0;20.0;0.3;0.3;-1.2;-1.2;0.0;0.0;0.0;0.0;0.0;-0.5;-0.3;-11.6;0.9;0.9;0.6;0.6;-0.1;-0.1;0.2;0.2;26.9;26.9;0.0;-0.2;-0.2;-4.3;-4.3;-4.3;-0.1;-0.1;-6.4;0.0;-46.7;-5.3;0.0;-13.7;0.1;-141.0;-138.9;-0.8;-47.6;-7.5;19.2;-4.9;0.0;13.5;6.1;3.9;-21.2;48.9;0.0;6.4;-0.0;0.0;-2.1;-6.2;-1.2;-3.7;-6.2;-2.5;-2.8;-33.6;1.5;1.5;0.7;0.0;11.0;10.7;10.7;0.5;-1.8;-1.2;8.7;2.2;1.8;-17.4;-15.7;-24.6;-12.2;2.5;0.0;0.0;-4.9;-0.6;-4.0;-99.3;0.0;0.0;6.9;0.8;12.6;-35.1;-8.5;1.7;-89.3;-0.0;0.0;15.1;-14.0;67.4;68.1;0.0;-5.5;-6.5;-7.0;-11.3;2.7;2.7;67.8;-70.6;-71.2;-14.4;-5.1;-9.3;0.5;-3.5;0.5;0.0;-4.9;-25.3;-19.5;-5.3;0.0;-5.5;-4.9;-0.9;-1.6;0.0;27.4;-7.5;34.6;2.9;-2.9;-4.8;-4.6;-5.3;-0.5;69.0;7.8;2.1
-0.3;-0.3;-1.4;-1.4;0.2;0.2;0.2;0.2;-1.0;-13.8;-7.7;13.0;9.1;16.0;0.0;-2.5;-2.5;0.0;-1.5;-1.5;-2.3;-0.2;-1.8;-0.4;-0.7;-0.7;0.5;0.5;1.2;-3.7;0.0;-3.7;0.5;0.5;0.5;0.0;0.0;-3.5;0.6;0.6;-2.7;4.9;4.9;-1.6;-1.8;0.0;-0.0;-0.0;1.5;1.2;1.2;-1.1;-1.1;0.2;0.2;0.2;-1.7;-1.7;0.4;0.4;1.2;0.0;0.4;0.4;-0.5;-0.5;-0.6;-0.6;-1.1;-1.1;-0.4;-0.4;20.0;20.0;0.3;0.3;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-1.0;-0.6;-12.4;0.9;0.9;0.4;0.4;-0.2;-0.2;-0.6;-0.6;26.6;26.6;0.0;-0.2;-0.2;-4.2;-4.2;-4.2;0.5;0.5;-6.0;0.0;-43.9;-5.5;0.0;-24.2;0.1;-144.6;-142.3;-1.1;-47.6;-7.8;18.8;-4.9;0.0;13.3;6.2;4.0;-21.6;51.1;0.0;6.2;0.0;0.0;-2.3;-5.7;-1.2;-3.9;-6.0;-2.7;-2.7;-38.5;1.3;1.3;0.7;0.0;6.8;6.6;6.5;0.5;-1.4;-1.2;8.6;0.9;0.5;-12.6;-19.5;-26.8;-10.3;-3.7;0.0;0.0;-5.1;-0.6;-4.0;-98.3;0.0;0.0;3.3;0.7;11.8;-37.8;-7.9;2.3;-95.7;-0.0;0.0;15.4;-12.0;67.4;67.9;0.0;-9.0;-10.0;-7.4;-11.6;2.6;2.6;67.6;-68.6;-68.3;-13.6;-4.3;-8.9;1.5;-3.5;1.5;0.0;-4.5;-25.0;-19.1;-5.0;0.0;-5.2;-5.2;-0.7;-1.3;0.0;26.9;-7.5;30.4;3.4;-3.1;-4.9;-4.7;-5.4;-0.5;68.8;7.7;2.4
-0.6;-0.6;-1.2;-1.2;0.2;0.2;0.2;0.2;-0.6;-12.1;-7.1;13.0;9.9;16.0;0.0;-1.7;-1.7;0.0;-1.7;-1.7;-2.2;-0.1;-0.7;-0.2;-0.9;-0.9;0.4;0.4;0.8;-2.7;0.0;-2.7;-0.9;-0.9;0.2;0.0;0.0;-3.0;-0.8;-0.8;-2.9;1.8;1.8;-0.7;-1.4;0.0;-0.1;-0.1;1.3;1.2;1.2;-0.9;-0.9;0.1;0.1;0.1;-1.6;-1.6;0.2;0.2;1.2;0.0;-0.2;-0.2;-0.3;-0.3;-0.7;-0.7;0.5;0.5;-0.2;-0.2;20.0;20.0;0.2;0.2;-1.4;-1.4;0.0;0.0;0.0;0.0;0.0;-0.4;-0.4;-6.9;0.8;0.8;0.7;0.7;-0.1;-0.1;0.6;0.6;26.0;26.0;0.0;-0.2;-0.2;-4.1;-4.1;-4.1;-0.3;-0.3;-5.9;0.0;-41.6;-5.1;0.0;-17.1;0.1;-134.9;-132.9;-1.1;-46.4;-5.2;19.1;-4.9;0.0;14.4;6.3;4.2;-21.2;44.2;0.0;6.3;-0.0;0.0;-2.0;-5.5;-0.8;-3.8;-6.0;-2.6;-2.8;-35.8;1.3;1.3;0.7;0.0;23.8;23.4;23.4;0.4;-1.7;-1.2;8.4;2.6;2.2;-12.1;-13.6;-20.3;-8.1;-1.4;0.0;0.0;-4.7;-0.5;-4.2;-92.0;0.0;0.0;-1.9;0.9;10.9;-36.1;-6.9;3.2;-92.8;-0.0;0.0;15.6;-10.3;67.4;67.7;0.0;-6.7;-7.7;-6.7;-11.2;2.7;2.7;67.5;-75.0;-75.2;-6.4;-6.9;-3.8;-1.2;-0.0;-1.2;0.0;-4.5;-23.9;-19.1;-4.2;0.0;-4.4;-4.3;-1.3;-1.5;0.0;24.8;-6.1;28.8;2.9;-2.9;-5.1;-4.9;-5.2;-0.5;68.7;7.5;1.9
-1.0;-1.0;-1.3;-1.3;0.4;0.4;0.4;0.4;-0.5;-15.7;-8.9;13.0;9.9;16.0;0.0;-1.2;-1.2;0.0;-1.2;-1.2;-3.0;-0.1;-0.9;-0.2;-0.7;-0.7;0.5;0.5;0.3;-3.0;0.0;-3.0;-0.4;-0.4;0.4;0.0;0.0;-3.6;-1.5;-1.5;0.4;2.9;2.9;-1.0;-1.9;0.0;-0.1;-0.1;1.2;1.2;1.2;-0.8;-0.8;0.1;0.1;0.1;-1.5;-1.5;0.1;0.1;1.2;0.0;0.7;0.7;-0.3;-0.3;-0.4;-0.4;1.0;1.0;0.1;0.1;20.0;20.0;0.1;0.1;-1.6;-1.6;0.0;0.0;0.0;0.0;0.0;-0.3;-0.3;-8.8;1.2;1.2;0.6;0.6;-0.0;-0.0;-0.6;-0.6;25.2;25.2;0.0;-0.4;-0.4;-4.0;-4.0;-4.0;-0.5;-0.5;-4.4;0.0;-38.0;-5.0;0.0;-10.3;0.1;-134.0;-132.0;-0.6;-45.2;-7.3;21.4;-4.8;0.0;14.6;6.7;4.5;-20.7;41.2;0.0;6.2;-0.0;0.0;-1.9;-5.6;-0.8;-3.7;-6.0;-2.5;-2.7;-37.2;1.8;1.8;1.0;0.0;18.6;18.2;18.2;0.7;-1.4;-1.2;8.6;9.4;8.9;-12.9;-8.1;-23.4;-7.4;-2.1;0.0;0.0;-4.7;0.2;-44.4;-84.3;0.0;0.0;2.3;1.0;8.9;-27.1;-5.6;4.5;-90.0;-0.0;0.0;16.5;-9.3;67.2;67.2;0.0;-7.1;-8.0;-5.9;-10.6;2.7;2.7;67.0;-69.7;-70.2;-12.6;-3.2;-6.5;-0.8;-0.0;-0.8;0.0;-4.8;-24.2;-19.3;-2.9;0.0;-3.0;-4.2;-1.5;-2.3;0.0;25.3;-5.1;29.0;3.3;-2.7;-5.1;-4.9;-4.7;-0.5;68.1;7.6;2.2
-1.1;-1.1;-0.9;-0.9;0.2;0.2;0.2;0.2;-0.5;-15.7;-9.2;13.0;7.9;16.0;0.0;-1.5;-1.5;0.0;-1.5;-1.5;-1.9;0.0;-1.9;-0.4;-0.2;-0.2;0.2;0.2;1.4;-2.5;0.0;-2.5;-0.5;-0.5;-0.2;0.0;0.0;-3.1;-1.2;-1.2;-3.3;3.0;3.0;-0.4;-2.3;0.0;0.1;0.1;1.2;1.4;1.4;-0.8;-0.8;0.4;0.4;0.4;-1.4;-1.4;0.6;0.6;0.8;0.0;-0.4;-0.4;-0.3;-0.3;-0.7;-0.7;1.5;1.5;-0.3;-0.3;20.0;20.0;0.3;0.3;-1.3;-1.3;0.0;0.0;0.0;0.0;0.0;0.0;-0.7;-8.3;1.2;1.2;0.8;0.8;0.1;0.1;0.4;0.4;25.7;25.7;0.0;-0.1;-0.1;-4.5;-4.5;-4.5;-0.1;-0.1;-7.4;0.0;-36.4;-4.8;0.0;25.0;0.1;-131.2;-129.2;-1.6;-42.5;-5.3;19.3;-4.9;0.0;16.3;7.5;5.4;-18.3;32.2;0.0;6.6;-0.0;0.0;-1.9;-5.3;-0.8;-3.7;-5.9;-2.5;-2.6;-40.9;1.9;1.9;0.9;0.0;-8.7;-8.7;-8.7;0.6;-1.7;-0.8;9.2;0.5;0.1;-10.8;-6.7;-21.9;-4.1;14.8;0.0;0.0;-4.4;0.8;-40.2;-86.1;0.0;0.0;3.6;0.9;7.7;-22.5;-5.1;5.0;-85.8;-0.0;0.9;17.4;-5.8;67.1;67.6;0.0;-5.9;-6.8;-5.0;-10.2;2.8;2.8;67.4;-74.0;-75.8;-12.8;-3.4;-4.8;-0.1;-0.0;-0.1;0.0;-4.4;-19.3;-18.5;-1.6;0.0;-1.7;-3.7;-0.6;-0.6;0.0;24.5;-5.2;24.0;3.4;-2.4;-4.8;-4.6;-4.9;-0.5;68.6;8.1;1.9
