lines_disconnected;0
BOISSL61GEN.P;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
BXNE5L31VOSNE;[{'type': 'suav_manoeuvre', 'start': '20240919T0725Z', 'end': '20240919T1435Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0725Z', 'end': '20240919T1435Z'}]}]
CHALOL31LOUHA;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
CURTIL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
GEN.PL62GENIS;[{'type': 'suav_manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1550Z'}]}]
GEN.PL63GENIS;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
GEN.PL64GENIS;[{'type': 'suav_manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1450Z'}]}]
GEN.PL66GENIS;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
GROSNL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
H.PAUL61ZCUR5;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
GEN.PY762;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
VIELMY762;[{'type': 'consignation', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'consigné', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
CPVANY632;[{'type': 'consignation', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'consigné', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
GENISY615;[{'type': 'suav_manoeuvre', 'start': '20240919T1105Z', 'end': '20240919T1350Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T1105Z', 'end': '20240919T1350Z'}]}]
GENISY614;[{'type': 'suav_manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1450Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1450Z'}]}]
GENISY613;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
GENISY612;[{'type': 'suav_manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0105Z', 'end': '20240919T0250Z'}]}, {'type': 'suav_manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1550Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T1005Z', 'end': '20240919T1550Z'}]}]
GENISY616;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
N.SE5Y712;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
TAVA5Y611;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
TAVA5Y612;[{'type': 'suav_manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z', 'details': [{'type': 'manoeuvre', 'start': '20240919T0000Z', 'end': '20240919T2355Z'}]}]
