AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;BXNE53G1;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA
4.1;4.1;3.6;3.6;0.3;0.3;0.3;0.3;7.0;-1.2;0.0;32.7;31.0;38.0;1.4;0.4;0.4;0.0;4.5;4.5;2.8;9.5;5.2;9.5;9.1;9.1;0.1;0.1;0.3;9.2;9.2;9.2;0.0;-0.5;0.4;1.3;0.0;0.0;0.0;0.0;9.0;-1.8;-3.6;8.4;0.0;-0.6;0.0;0.0;0.7;5.9;5.9;3.2;3.2;2.6;2.6;2.6;4.0;4.0;7.5;7.5;-0.3;0.0;0.9;0.9;-0.3;-0.3;6.1;6.1;12.5;9.4;0.0;0.0;46.0;12.7;0.3;0.3;3.9;3.9;2.2;2.2;2.2;-0.4;-0.4;0.0;0.0;23.6;10.3;10.3;-2.3;-2.3;11.3;0.0;3.2;3.2;51.1;51.1;0.1;1.3;1.3;1.9;1.9;1.9;0.4;0.4;-3.2;145.4;0.0;16.9;0.0;398.9;-0.7;-48.6;-47.3;38.7;-24.4;24.1;12.3;-24.3;14.1;58.1;21.2;21.1;23.8;-90.0;-90.1;-0.4;0.0;11.4;7.5;-3.2;17.0;9.6;-3.6;6.2;7.1;-241.4;9.6;9.6;9.3;0.0;254.0;250.8;640.5;8.6;13.3;12.2;7.2;-425.9;-421.7;105.3;-424.1;-422.9;75.4;468.8;8.2;0.0;15.4;33.9;-172.4;79.3;94.8;574.2;574.3;-0.9;-152.3;-366.9;38.6;38.7;444.5;0.0;-3.4;53.3;79.4;0.1;0.1;0.0;29.6;29.3;34.3;33.4;6.4;6.4;0.1;504.5;504.4;24.1;25.2;33.1;11.6;-0.0;11.6;-43.1;-54.0;-68.5;-93.0;24.0;24.3;26.0;0.3;4.7;0.0;0.0;-123.1;8.2;-167.3;9.9;-8.6;0.0;3.6;8.0;0.0;0.1;6.8;8.4
2.0;2.0;3.7;3.7;0.7;0.7;0.7;0.7;6.7;-3.9;0.0;29.7;30.8;37.8;-0.2;0.0;0.0;0.0;3.9;3.9;5.1;8.5;4.9;8.5;8.5;8.5;0.1;0.1;0.0;9.1;9.1;9.1;0.0;-9.4;0.1;0.5;0.0;0.0;-0.7;-0.7;9.4;1.1;1.1;8.1;0.0;-1.3;-0.2;-0.2;0.4;5.4;5.4;3.1;3.1;0.1;0.1;0.1;4.6;4.6;7.3;7.3;-0.4;0.0;-0.4;-0.4;-0.2;-0.2;6.0;6.0;10.1;7.7;6.6;6.6;46.0;9.7;0.4;0.4;3.4;3.4;2.2;2.2;2.2;-0.3;-0.3;0.0;0.0;17.6;10.0;10.0;-1.5;-1.5;10.7;0.0;1.8;1.8;51.6;51.6;0.1;3.4;3.4;0.7;0.7;0.7;-0.1;-0.1;0.1;161.3;0.0;17.6;0.0;471.1;-0.7;-87.9;-85.6;37.6;-28.4;21.1;11.6;-28.3;24.0;57.9;20.1;19.6;23.9;-85.0;-85.2;27.5;0.0;10.7;7.2;-3.7;16.2;9.3;-4.0;6.0;6.5;-285.0;9.4;9.4;9.2;0.0;254.6;251.3;655.0;8.4;12.2;12.2;10.1;-455.0;-450.6;100.7;-476.0;-474.7;75.4;483.6;8.6;0.0;16.1;36.0;-149.7;86.2;102.9;579.1;579.2;-0.6;-155.4;-373.8;35.9;35.9;457.2;0.0;-1.1;54.6;79.8;0.1;0.1;0.0;23.6;23.3;30.6;29.6;6.3;6.3;0.1;594.7;594.6;26.0;27.8;31.8;11.9;0.0;11.9;-38.6;-55.0;-61.4;-94.7;22.6;22.9;24.5;0.1;5.1;0.0;0.0;-128.2;6.0;-183.0;9.4;-8.7;0.0;1.6;7.5;0.0;0.1;9.6;8.1
3.8;3.8;3.3;3.3;0.0;0.0;0.0;0.0;5.9;0.4;0.0;28.9;30.8;37.8;-0.2;0.0;0.0;0.0;4.0;4.0;2.3;9.1;5.0;9.6;8.7;8.7;0.0;0.0;0.4;8.1;8.1;8.1;0.0;-2.6;0.1;-0.2;0.0;0.0;0.1;0.1;7.6;0.3;0.3;8.1;0.0;-0.3;0.1;0.1;0.9;5.1;5.1;3.0;3.0;0.5;0.5;0.5;4.2;4.2;6.6;6.6;-0.2;0.0;0.3;0.3;-0.3;-0.3;6.2;6.2;9.3;7.0;6.1;6.1;46.0;14.2;0.5;0.5;3.5;3.5;2.3;2.3;2.3;-0.1;-0.1;0.0;0.0;16.3;10.1;10.1;-1.2;-1.2;10.6;0.0;0.1;0.1;50.8;50.8;0.1;1.0;1.0;1.0;1.0;1.0;0.4;0.4;-1.7;136.1;0.0;17.3;0.0;424.4;-0.6;-50.8;-49.5;38.4;-25.3;24.1;6.3;-25.2;19.6;57.8;20.4;20.3;23.6;-88.6;-88.7;-0.7;0.0;10.3;6.9;-3.7;16.2;8.8;-4.1;5.7;6.0;-247.6;9.0;9.0;8.8;0.0;213.8;211.1;622.3;8.1;12.3;11.4;14.0;-434.2;-430.0;109.3;-410.1;-409.0;67.9;477.0;7.8;0.0;15.9;34.2;-150.9;73.1;87.6;573.2;573.2;-0.3;-148.6;-342.9;33.3;34.1;443.8;0.0;-2.8;40.8;71.9;0.1;0.1;0.0;24.6;24.3;30.8;29.8;6.1;6.1;0.2;512.0;511.9;26.7;28.5;30.0;11.0;0.0;11.0;-35.3;-51.6;-56.0;-88.9;22.4;22.8;24.4;-1.4;4.4;0.0;0.0;-113.7;6.8;-152.5;5.6;-7.2;0.0;0.1;7.0;0.0;0.1;13.3;4.9
4.1;4.1;3.0;3.0;0.9;0.9;0.9;0.9;6.2;-3.1;0.0;31.8;31.0;38.0;1.2;0.6;0.6;0.0;3.8;3.8;4.3;8.9;5.0;8.9;9.1;9.1;0.1;0.1;0.1;8.2;8.2;8.2;0.0;-0.5;0.6;0.8;0.0;0.0;0.6;0.6;8.0;-0.8;-2.6;7.8;0.0;-0.6;0.7;0.7;1.1;4.8;4.8;2.4;2.4;0.5;0.5;0.5;3.5;3.5;7.1;7.1;-0.1;0.0;-0.4;-0.4;-0.4;-0.4;5.4;5.4;9.1;7.5;5.2;5.2;46.0;11.1;1.0;1.0;3.6;3.6;1.7;1.7;1.7;0.6;0.6;0.0;0.0;19.5;9.8;9.8;-1.0;-1.0;9.7;0.0;0.7;0.7;51.2;51.2;0.0;1.8;1.8;1.0;1.0;1.0;0.2;0.2;-3.4;101.2;0.0;15.5;0.0;453.6;-0.6;-40.8;-39.7;35.1;-27.6;26.7;5.6;-27.4;16.6;55.9;21.4;20.8;21.8;-87.6;-87.7;-0.3;0.0;10.4;6.5;-5.1;16.2;8.3;-5.4;5.4;6.0;-233.9;9.0;9.1;8.8;0.0;168.5;166.4;576.3;8.2;12.2;11.4;12.3;-455.4;-451.0;92.1;-417.6;-416.4;43.9;499.2;7.2;0.0;14.2;33.2;-142.5;77.5;92.7;569.6;569.6;-0.7;-135.9;-274.3;32.2;32.9;431.2;0.0;-1.7;37.8;47.8;0.1;0.1;0.0;23.3;23.0;31.0;30.0;6.1;6.1;0.2;480.0;479.9;26.2;28.0;25.9;11.7;0.0;11.7;-32.8;-43.9;-52.1;-75.6;22.1;22.4;24.0;-2.0;4.5;0.0;0.0;-112.4;6.8;-142.3;6.0;-6.7;0.0;2.0;7.1;0.0;0.1;11.6;5.1
1.4;1.4;2.9;2.9;0.1;0.1;0.1;0.1;5.9;-2.8;0.0;29.3;30.8;37.8;-0.2;0.0;0.0;0.0;3.8;3.8;4.9;7.8;4.1;8.2;8.7;8.7;0.1;0.1;0.4;7.3;7.3;7.3;0.0;-0.5;0.6;0.5;0.0;0.0;1.6;1.6;6.4;0.6;0.6;8.2;0.0;-0.2;2.0;2.0;0.5;4.8;4.8;1.9;1.9;0.2;0.2;0.2;3.5;3.5;6.5;6.5;0.0;0.0;0.7;0.7;-0.3;-0.3;5.8;5.8;7.9;6.2;5.6;5.6;46.0;11.8;0.3;0.3;3.1;3.1;1.8;1.8;1.8;0.0;0.0;0.0;0.0;16.7;9.5;9.5;-1.3;-1.3;8.9;0.0;1.7;1.7;51.3;51.3;0.0;0.8;0.8;0.7;0.7;0.7;0.6;0.6;-3.9;98.9;0.0;14.9;0.0;445.2;-0.6;-44.6;-43.5;35.2;-27.7;23.9;5.5;-27.5;17.9;56.0;21.9;21.3;23.3;-86.2;-86.4;-0.6;0.0;9.4;6.4;-4.1;15.4;8.2;-4.5;5.3;5.4;-225.2;9.1;9.1;8.9;0.0;173.1;170.8;580.0;8.2;12.2;11.4;12.2;-450.9;-446.5;92.7;-427.5;-426.4;42.2;496.4;7.1;0.0;13.6;33.1;-151.0;74.6;89.2;576.9;576.9;-0.6;-138.2;-256.3;32.6;33.3;424.4;0.0;-3.4;44.5;45.8;0.1;0.1;0.0;23.7;23.4;30.5;29.5;5.6;5.5;0.2;478.3;478.2;25.8;27.6;26.1;11.4;0.0;11.4;-25.3;-43.1;-40.2;-74.3;21.7;22.0;22.9;-1.1;4.5;0.0;0.0;-113.8;9.6;-151.2;6.1;-6.9;0.0;0.1;6.9;0.0;0.1;11.5;5.2
1.5;1.5;3.2;3.2;0.0;0.0;0.0;0.0;6.0;-4.5;0.0;30.6;31.0;38.0;-0.0;0.0;0.0;0.0;3.6;3.6;2.2;9.1;4.6;9.1;9.0;9.0;0.1;0.1;-0.3;8.8;8.8;8.8;0.0;-1.2;0.4;0.3;0.0;0.0;0.4;0.4;7.9;0.0;-0.1;7.8;0.0;0.3;-0.6;-0.6;-0.2;4.9;4.9;1.8;1.8;0.0;0.0;0.0;3.9;3.9;6.7;6.7;-0.5;0.0;-0.1;-0.1;-0.2;-0.2;5.7;5.7;9.1;6.3;5.7;5.7;46.0;9.8;0.3;0.3;2.8;2.8;1.7;1.7;1.7;-0.3;-0.3;0.0;0.0;17.8;9.9;9.9;-1.5;-1.5;9.3;0.0;0.4;0.4;50.9;50.9;0.0;0.8;0.8;1.1;1.1;1.1;0.4;0.4;-3.5;97.5;0.0;15.1;0.0;419.6;-0.6;-113.8;-110.9;34.4;-28.2;26.5;2.4;-28.0;16.0;54.5;21.1;21.0;21.4;-85.0;-85.1;-0.6;0.0;9.9;6.4;-3.3;15.4;8.2;-3.7;5.3;5.4;-261.7;8.9;8.9;8.7;0.0;153.5;151.6;565.9;7.9;12.3;11.4;12.3;-462.4;-457.9;94.3;0.0;-574.6;40.9;488.9;6.7;0.0;13.8;33.2;-147.2;79.9;95.5;575.2;575.2;-1.0;-130.6;-247.5;32.4;33.2;439.5;0.0;0.0;45.0;44.6;0.1;0.1;0.0;24.1;23.8;30.1;29.1;6.3;6.3;0.2;485.2;485.1;25.0;26.8;24.0;10.1;-0.0;10.1;-21.8;-41.0;-34.6;-70.6;21.4;21.8;23.3;0.1;4.0;0.0;0.0;-114.0;7.7;-157.9;4.6;-7.5;0.0;0.1;6.6;0.0;0.1;11.6;3.9
1.2;1.2;3.1;3.1;0.0;0.0;0.0;0.0;6.1;-4.8;0.0;30.2;31.0;38.0;-0.0;0.0;0.0;0.0;3.5;3.5;0.7;9.0;4.5;9.0;8.9;8.9;0.3;0.3;0.0;8.4;8.4;8.4;0.0;-4.3;0.0;0.4;0.0;0.0;0.8;0.8;9.8;1.8;1.8;9.2;0.0;0.5;-0.3;-0.3;0.8;4.9;4.9;2.4;2.4;0.1;0.1;0.1;3.6;3.6;7.3;7.3;0.0;0.0;-0.5;-0.5;-0.4;-0.4;5.0;5.0;8.2;6.4;5.7;5.7;46.0;9.5;0.2;0.2;3.0;3.0;1.7;1.7;1.7;0.7;0.7;0.0;0.0;14.8;9.5;9.5;-1.1;-1.1;9.3;0.0;0.4;0.4;51.5;51.5;0.0;0.8;0.8;0.9;0.9;0.9;1.0;1.0;-3.3;118.1;0.0;15.2;0.0;377.4;-0.6;-114.8;-111.9;35.2;-29.4;28.2;2.6;-29.3;19.7;56.4;21.8;21.2;23.0;-89.9;-90.1;-0.3;0.0;10.3;6.4;0.2;16.2;8.1;-0.5;5.2;5.1;-264.6;9.2;9.3;9.0;0.0;161.8;159.8;588.5;8.3;12.2;11.4;12.1;-462.3;-457.8;104.1;0.0;-593.4;51.7;463.1;6.7;0.0;13.9;33.1;-146.5;95.2;113.4;579.1;579.2;-0.6;-123.2;-213.6;35.2;36.0;460.6;0.0;-2.8;49.6;55.5;0.1;0.1;0.0;24.3;24.0;30.6;29.6;6.8;6.8;0.2;492.8;492.7;27.4;29.3;24.7;11.8;-0.0;11.8;-16.4;-42.0;-26.0;-72.3;22.1;22.5;23.4;0.8;3.8;0.0;0.0;-114.8;9.4;-156.4;4.7;-7.7;0.0;0.1;6.2;0.0;0.1;11.5;4.0
1.8;1.8;3.2;3.2;0.0;0.0;0.0;0.0;5.9;-4.2;0.0;28.2;30.7;37.7;-0.3;0.7;0.7;0.0;3.7;3.7;2.0;8.6;4.3;8.6;10.0;10.0;0.5;0.5;-0.1;9.4;9.4;9.4;0.0;-3.0;0.0;0.5;0.0;0.0;-0.6;-0.6;7.9;0.4;0.4;9.3;0.0;-1.0;0.1;0.1;1.0;5.4;5.4;2.7;2.7;0.5;0.5;0.5;3.9;3.9;7.1;7.1;-0.4;0.0;-0.8;-0.8;-0.2;-0.2;5.3;5.3;10.4;7.9;6.2;6.2;46.0;9.7;0.2;0.2;3.0;3.0;1.7;1.7;1.7;0.0;0.0;0.0;0.0;18.5;10.1;10.1;-1.6;-1.6;9.5;0.0;1.6;1.6;51.0;51.0;0.6;0.8;0.8;1.0;1.0;1.0;-0.3;-0.3;-4.6;122.7;0.0;15.8;0.0;391.8;-0.5;-92.8;-90.5;37.8;-30.3;30.3;5.7;-30.1;18.8;58.4;21.9;21.3;24.2;-95.4;-95.5;-0.6;0.0;11.4;6.4;3.6;16.2;8.2;2.6;5.3;5.7;-238.0;9.6;9.7;9.4;0.0;176.4;174.1;604.5;8.7;12.3;12.2;11.9;-471.7;-467.2;102.7;0.0;-602.3;46.0;460.6;7.0;0.0;14.4;34.6;-154.2;109.8;130.5;577.3;577.4;-1.5;-121.1;-257.0;35.1;35.9;471.5;0.0;-3.4;54.0;49.7;0.1;0.1;0.0;25.6;25.3;31.9;30.9;6.7;6.6;0.2;496.5;496.4;28.2;30.1;25.8;11.7;-0.0;11.7;-18.4;-42.8;-29.2;-73.7;23.1;23.5;25.1;2.9;4.6;0.0;0.0;-118.6;7.2;-158.2;7.0;-7.0;0.0;0.1;6.2;0.0;0.1;11.3;6.0
0.8;0.8;3.7;3.7;0.1;0.1;0.1;0.1;7.2;-3.2;0.0;26.6;30.5;37.5;-0.5;0.5;0.5;0.0;3.9;3.9;0.5;9.5;5.0;9.5;9.4;9.4;0.1;0.1;0.8;9.0;9.0;9.0;0.0;0.6;0.5;0.5;0.0;0.0;0.2;0.2;8.8;1.3;1.3;9.8;0.0;-1.1;0.0;0.0;0.5;5.2;5.2;2.7;2.7;0.4;0.4;0.4;4.0;4.0;7.4;7.4;-0.5;0.0;-1.1;-1.1;0.0;0.0;5.7;5.7;10.0;7.2;6.3;6.3;46.0;11.4;0.1;0.1;3.6;3.6;1.9;1.9;1.9;0.4;0.4;0.0;0.0;17.3;10.5;10.5;-0.9;-0.9;9.6;0.0;1.1;1.1;51.3;51.3;0.0;1.0;1.0;0.6;0.6;0.6;0.0;0.0;-4.1;98.4;0.0;15.7;0.0;147.8;-0.5;-17.4;-17.0;42.6;-18.6;42.2;10.6;-18.5;-10.1;56.4;22.7;22.6;26.6;-112.0;-112.3;-0.2;0.0;11.4;6.7;4.8;17.9;8.6;3.7;5.5;6.5;-156.2;10.4;10.5;10.2;0.0;169.1;166.9;515.4;9.5;13.2;13.0;14.1;-376.6;-372.9;124.8;0.0;-514.5;33.0;350.6;7.6;0.0;14.2;34.3;-169.3;109.1;129.7;550.9;550.9;-0.8;-94.1;-278.1;36.4;37.1;485.9;0.0;-5.1;61.9;36.7;0.1;0.1;0.0;27.6;27.3;35.4;34.4;7.0;6.9;0.2;469.5;469.4;28.6;30.5;27.7;13.3;-0.0;13.3;-12.1;-37.3;-19.1;-64.2;26.2;26.6;27.7;5.0;3.7;0.0;0.0;-96.3;7.5;-104.9;7.4;-5.3;0.0;2.0;6.6;0.0;0.1;13.3;6.3
1.5;1.5;3.8;3.8;0.1;0.1;0.1;0.1;6.6;-2.4;0.0;31.3;31.0;38.0;0.7;1.7;1.7;0.0;4.3;4.3;-2.3;9.9;4.7;9.9;10.1;10.1;0.1;0.1;0.8;10.2;10.2;10.2;0.0;-1.5;1.5;-1.4;0.0;0.0;-0.2;-0.2;11.0;4.2;4.2;10.7;0.0;-0.4;-0.1;-0.1;1.1;5.6;5.6;3.3;3.3;0.2;0.2;0.2;4.7;4.7;8.4;8.4;-0.4;0.0;-0.4;-0.4;0.0;0.0;6.4;6.4;11.3;9.2;6.7;6.7;46.0;11.9;0.3;0.3;3.6;3.6;2.0;2.0;2.0;0.7;0.7;0.0;0.0;16.2;11.6;11.6;-1.2;-1.2;11.0;0.0;0.4;0.4;48.4;48.4;0.7;0.9;0.9;0.6;0.6;0.6;-0.5;-0.5;-4.7;95.7;0.0;15.6;0.0;38.5;-0.5;117.7;114.7;48.1;-5.1;48.6;19.9;-5.1;-46.5;58.2;23.7;23.6;30.3;-130.3;-130.6;18.5;0.0;12.4;6.9;5.7;18.7;8.9;4.5;5.8;7.7;-63.3;10.8;10.8;10.5;0.0;126.6;124.9;397.1;9.8;16.8;15.4;4.1;-293.0;-290.2;111.4;-336.2;-335.3;11.4;261.7;8.4;0.0;13.9;34.9;-139.1;106.9;127.1;526.3;526.4;0.6;-78.0;-182.9;39.5;41.0;507.4;0.6;-8.0;66.2;15.0;0.1;0.1;0.0;31.0;30.7;39.0;38.1;7.0;6.9;0.2;459.4;459.3;24.7;26.5;26.8;14.2;0.0;14.2;-11.7;-34.7;-18.4;-59.7;27.2;27.5;28.7;5.2;3.2;0.0;0.0;-76.0;7.1;-47.8;9.1;-3.0;0.0;0.1;7.4;0.0;0.1;3.9;7.9
