BUGEY7G2;BUGEY7G3;BUGEY7G4;BUGEY7G5;BXNE IN1;BXNE IN3;BXNE IN4;BXNE INF;BXNE ING;GEN.P6G1;GEN.P6G2;GEN.P6G3;GEN.P6G4;GEN.P6G5;GEN.P6G6;N.SE17GROUP.1;N.SE27GROUP.2;TAVAU6GROUP.1;TAVAU6GROUP.2;VIELMIN1;VIELMIN2;VIELMIN3;VIELMINF;VIELMING;VOUGL.HG1;VOUGL.HG2;VOUGL.HG3;VOUGL.HG4
618.8;924.9;837.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.4;0.0;59.9;61.0;58.9;1198.3;0.0;0.0;0.0;11.2;10.5;11.4;0.0;0.0;0.0;56.7;0.0;0.0
619.4;923.4;834.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.7;57.5;1198.1;0.0;0.0;0.0;7.5;8.1;8.0;0.0;0.0;0.0;56.6;0.0;0.0
615.9;921.8;841.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.5;59.2;1215.6;0.0;0.0;0.0;11.9;9.9;8.4;0.0;0.0;0.0;57.8;0.0;0.0
614.8;923.2;831.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.2;59.3;1198.3;0.0;0.0;0.0;4.8;4.4;6.2;0.0;0.0;0.0;56.9;0.0;0.0
615.5;921.4;840.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.3;58.3;1208.3;0.0;0.0;0.0;5.7;5.0;6.6;0.0;0.0;0.0;57.1;0.0;0.0
616.3;922.3;838.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0;58.7;1203.4;0.0;0.0;0.0;6.9;7.2;8.1;0.0;0.0;0.0;56.2;0.0;0.0
615.1;922.4;828.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.7;59.1;1119.6;0.0;0.0;0.0;9.9;8.8;7.1;0.0;0.0;0.0;56.1;0.0;0.0
617.6;923.3;833.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.8;58.2;1120.7;0.0;0.0;0.0;7.1;6.5;6.2;0.0;0.0;0.0;56.7;0.0;0.0
616.5;921.5;816.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.6;0.0;58.1;58.5;56.5;1092.1;0.0;0.0;0.0;5.8;6.4;6.7;0.0;0.0;0.0;55.5;0.0;0.0
611.2;918.0;827.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.9;0.0;58.9;60.2;58.2;1122.0;0.0;0.0;0.0;4.4;6.3;6.9;0.0;0.0;0.0;56.8;0.0;0.0
619.8;925.0;826.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.9;0.0;58.3;59.8;57.0;1238.5;0.0;0.0;0.0;6.2;6.9;7.1;0.0;0.0;0.0;56.3;53.2;0.0
616.0;920.8;846.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.1;0.0;59.5;61.0;58.2;1180.9;0.0;0.0;0.0;7.4;11.7;9.2;0.0;0.0;0.0;58.1;57.8;0.0
616.7;923.5;895.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.5;0.0;59.1;60.4;58.0;1206.6;0.0;0.0;0.0;6.6;10.1;10.9;0.0;0.0;0.0;53.5;29.9;0.0
