AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA;BXNE53G1
-0.1;-0.1;-1.3;-1.3;0.3;0.3;0.3;0.3;-0.0;-11.1;-5.8;13.0;13.0;16.0;16.0;-3.1;-3.1;-1.5;-1.5;-3.9;0.3;0.8;0.4;-1.0;-1.0;-0.1;-0.1;1.3;-1.9;-1.9;-1.9;0.5;0.5;-0.2;0.0;-4.9;0.0;-0.2;-0.2;6.2;-6.2;-6.2;-3.2;0.0;-0.3;-0.1;-0.1;0.4;-0.2;-0.2;0.0;-0.5;0.5;0.5;0.5;-2.8;-2.8;-1.1;-1.1;0.7;0.0;-1.2;-1.2;-0.1;-0.1;-1.1;-1.1;-1.0;-1.0;-2.1;-2.1;20.0;6.8;0.0;0.0;-1.9;-1.9;-1.6;-1.6;-1.6;-2.8;-0.7;0.0;0.0;0.4;-3.6;-3.6;0.6;0.6;-0.9;-0.9;1.2;1.2;13.9;13.9;0.0;-1.1;-1.1;-4.4;-4.4;-4.4;0.2;0.2;-4.0;-47.0;-47.0;-0.4;-23.8;-123.0;0.1;-84.2;-83.5;-3.3;-22.1;-31.9;10.2;-22.1;42.1;3.3;-3.4;3.7;-21.7;42.2;42.8;-10.5;0.0;-6.0;-1.3;-7.1;-0.8;-3.4;-6.2;-2.3;-3.3;-33.3;1.0;1.0;0.9;-8.9;15.2;14.9;-8.9;0.7;-2.9;-2.0;-5.1;25.0;31.3;-13.2;-6.7;-6.7;7.8;-45.3;-2.2;0.0;-8.2;0.0;-27.8;-72.7;0.0;-12.4;-7.9;-0.5;6.7;94.5;-18.2;-8.6;-81.8;-0.0;-2.0;-0.1;5.9;68.3;0.0;0.0;-2.0;-3.1;-8.4;-18.0;3.0;3.0;67.5;-26.2;-26.3;-11.7;0.2;-3.5;-3.1;-0.0;-3.1;-10.6;-6.9;-11.1;-14.7;-6.2;-6.2;-6.5;-0.1;-3.0;-1.6;-1.5;54.6;-7.1;4.0;0.3;0.5;4.6;4.7;-4.4;-0.4;67.6;-5.2;-0.4;0.1
0.0;0.0;-1.2;-1.2;0.4;0.4;0.4;0.4;0.5;-12.2;-6.5;13.0;13.0;16.0;16.0;-3.0;-3.0;-1.5;-1.5;-4.5;1.0;2.7;1.7;-0.8;-0.8;-0.0;-0.0;1.1;-1.9;-1.9;-1.9;0.6;0.6;-0.1;0.0;-5.1;0.0;0.5;0.5;12.6;-8.8;-8.8;-2.7;0.0;-0.9;-0.1;-0.1;0.3;0.1;0.1;0.0;-0.3;0.3;0.3;0.3;-3.4;-3.4;-0.7;-0.7;1.0;0.0;-1.2;-1.2;-0.0;-0.0;-1.1;-1.1;-1.9;-1.9;-1.9;-1.9;20.0;5.9;0.0;0.0;-2.0;-2.0;-2.2;-2.2;-2.2;-2.5;-0.6;0.0;0.0;0.2;-4.4;-4.4;0.4;0.4;-0.7;-0.7;1.0;1.0;14.3;14.3;0.0;-1.6;-1.6;-4.7;-4.7;-4.7;0.2;0.2;-5.9;-45.6;-45.6;-0.4;-20.3;-119.3;0.1;-85.0;-84.3;-0.1;-22.3;-33.2;10.4;-22.3;41.7;0.8;2.4;0.3;-23.0;43.6;44.3;-10.2;0.0;-6.1;-1.3;-7.1;-1.2;-3.4;-6.1;-2.4;-3.3;-31.1;0.8;0.8;0.7;-12.6;13.4;13.1;-12.6;0.4;-2.8;-2.0;-5.3;24.1;31.0;-14.0;-12.8;-12.9;9.1;-48.2;-2.3;0.0;-8.3;0.0;-27.2;-70.7;0.0;-20.1;-15.3;-0.3;7.3;99.1;-15.8;-6.7;-80.5;-0.0;-2.3;-0.1;7.0;68.4;0.0;0.0;-7.5;-8.5;-9.7;-19.4;2.8;2.8;67.9;-25.6;-25.6;-12.0;0.2;-3.4;-3.3;-0.0;-3.3;-11.3;-7.1;-12.3;-15.0;-6.3;-6.3;-6.6;-0.1;-2.7;-2.2;-1.5;56.5;-7.9;0.3;0.7;1.0;4.9;5.0;-5.0;-0.4;67.7;-5.4;-0.1;-0.0
0.1;0.1;-1.2;-1.2;0.4;0.4;0.4;0.4;0.3;-12.8;-6.7;13.0;13.0;16.0;16.0;-3.0;-3.0;-1.4;-1.4;-6.0;0.8;2.2;1.3;-0.9;-0.9;-0.2;-0.2;1.1;-2.0;-2.0;-2.0;0.5;0.5;-0.3;0.0;-5.1;0.0;0.4;0.4;18.4;-8.5;-8.5;-3.0;0.0;-0.7;-0.2;-0.2;0.8;-0.3;-0.3;0.0;-0.5;0.3;0.3;0.3;-3.8;-3.8;-0.9;-0.9;1.0;0.0;-1.3;-1.3;-0.1;-0.1;-1.2;-1.2;-1.7;-1.7;-1.9;-1.9;20.0;5.6;0.0;0.0;-2.0;-2.0;-3.2;-3.2;-3.2;-2.7;-0.6;0.0;0.0;0.5;-5.9;-5.9;0.7;0.7;-0.8;-0.8;1.2;1.2;13.0;13.0;0.0;-2.3;-2.3;-4.3;-4.3;-4.3;0.2;0.2;-4.9;-44.0;-44.0;0.3;-23.6;-108.4;0.1;-85.2;-84.5;0.0;-22.4;-30.5;9.9;-22.4;38.9;0.1;-3.6;3.5;-22.8;42.5;43.1;-10.7;0.0;-5.2;-1.3;-7.2;-1.2;-3.4;-6.4;-2.4;-3.4;-31.7;0.8;0.8;0.7;-20.9;7.5;7.3;-20.7;0.5;-2.6;-2.0;-5.3;27.0;34.5;-15.7;-13.2;-13.2;8.2;-47.9;-2.3;0.0;-7.8;0.0;-34.9;-64.2;0.0;-25.3;-20.0;-0.1;9.3;103.3;-15.2;-6.1;-92.5;-0.0;-2.0;-1.1;6.3;67.8;0.0;0.0;-4.8;-5.8;-8.9;-18.5;2.9;2.9;66.9;-28.7;-28.7;-10.9;0.1;-4.4;-3.4;-0.0;-3.4;-10.8;-6.8;-11.6;-14.6;-6.5;-6.5;-6.8;-0.1;-3.1;-3.3;-1.5;60.9;-7.7;4.3;0.4;1.4;4.9;4.9;-4.6;-0.4;66.6;-5.5;-0.4;0.0
0.4;0.4;-1.5;-1.5;0.4;0.4;0.4;0.4;0.4;-12.7;-6.3;13.0;13.0;16.0;16.0;-2.9;-2.9;-1.4;-1.4;-4.7;0.8;2.5;1.7;-1.0;-1.0;0.2;0.2;1.0;-2.2;-2.2;-2.2;0.8;0.8;-0.2;0.0;-5.1;0.0;0.3;0.3;16.2;-8.8;-8.8;-3.1;0.0;-0.8;-0.1;-0.1;1.1;-0.2;-0.2;0.0;-0.6;0.4;0.4;0.4;-3.8;-3.8;-1.0;-1.0;1.0;0.0;-0.3;-0.3;-0.2;-0.2;-1.0;-1.0;-1.8;-1.8;-1.9;-1.9;20.0;5.8;0.0;0.0;-2.1;-2.1;-2.9;-2.9;-2.9;-2.0;-0.5;0.0;0.0;0.6;-5.2;-5.2;0.1;0.1;-1.0;-1.0;0.8;0.8;13.0;13.0;0.0;-2.1;-2.1;-4.8;-4.8;-4.8;0.2;0.2;-5.8;-45.3;-45.4;0.0;-19.9;-104.3;0.1;-72.3;-71.9;-0.1;-23.0;-31.1;10.2;-23.0;39.9;0.4;2.1;0.0;-23.1;42.4;43.0;-10.5;0.0;-6.2;-1.4;-7.2;-1.2;-3.5;-6.4;-2.4;-3.3;-20.4;1.0;1.0;0.9;-22.0;5.7;5.5;-21.8;0.7;-2.8;-2.0;-5.4;31.0;38.5;-19.9;-14.0;-14.1;8.3;-51.8;-2.2;0.0;-8.0;0.0;-40.4;-59.5;0.0;-35.4;-30.3;-0.1;14.2;128.6;-15.4;-6.3;-89.7;-0.0;-2.6;-0.9;6.3;67.9;0.0;0.0;-8.2;-9.2;-9.8;-19.3;2.8;2.8;67.1;-25.4;-25.4;-11.1;0.2;-6.2;-3.4;-0.0;-3.4;-11.1;-6.5;-11.9;-14.1;-6.7;-6.7;-7.0;-0.1;-3.1;-2.9;-1.5;64.0;-8.1;7.6;0.3;1.8;5.5;5.5;-5.3;-0.4;66.6;-5.5;-0.5;0.0
0.1;0.1;-1.3;-1.3;0.4;0.4;0.4;0.4;0.0;-14.1;-7.0;13.0;13.0;16.0;16.0;-2.7;-2.7;-1.4;-1.4;-4.7;1.0;2.8;1.7;-1.0;-1.0;0.3;0.3;0.9;-1.8;-1.8;-1.8;0.6;0.6;-0.3;0.0;-5.6;0.0;-0.5;-0.5;6.6;-9.5;-9.5;-3.1;0.0;-0.7;-0.2;-0.2;1.2;0.1;0.1;0.0;-0.5;0.3;0.3;0.3;-3.1;-3.1;-0.8;-0.8;1.5;0.0;-1.4;-1.4;-0.4;-0.4;-1.2;-1.2;-1.4;-1.4;-1.5;-1.5;20.0;5.0;0.0;0.0;-2.0;-2.0;-1.5;-1.5;-1.5;-2.9;-0.7;0.0;0.0;0.4;-3.2;-3.2;0.4;0.4;-0.8;-0.8;1.3;1.3;13.2;13.2;0.0;-1.2;-1.2;-5.2;-5.2;-5.2;0.3;0.3;-5.0;-42.6;-42.7;0.1;-20.1;-100.5;0.1;-70.6;-70.3;-0.2;-22.8;-30.4;11.2;-22.8;39.0;0.0;1.9;-0.2;-23.4;42.3;43.0;-10.2;0.0;-6.3;-1.3;-7.4;-1.2;-3.4;-6.5;-2.4;-3.3;-10.4;1.1;1.1;1.0;-24.6;1.5;1.3;-24.5;0.7;-2.8;-2.0;-5.3;31.9;38.6;-21.6;-16.3;-16.3;7.8;-56.2;-2.2;0.0;-7.8;0.0;-38.5;-63.3;0.0;-42.1;-37.2;-0.0;16.7;127.3;-15.2;-6.1;-96.3;-0.0;-2.3;-2.0;5.8;68.1;0.0;0.0;-7.3;-8.3;-9.8;-19.4;2.8;2.8;67.2;-30.9;-30.9;-10.4;0.2;-6.7;-3.4;-0.0;-3.4;-11.4;-6.6;-12.5;-14.3;-6.6;-6.6;-6.9;-0.1;-3.2;-1.5;-1.5;62.1;-8.3;7.0;0.0;1.7;5.4;5.4;-5.3;-0.4;66.7;-5.5;-0.7;0.3
0.6;0.6;-1.8;-1.8;0.3;0.3;0.3;0.3;0.0;-12.7;-7.0;13.0;13.0;16.0;16.0;-2.9;-2.9;-1.4;-1.4;-5.5;1.2;3.3;1.9;-0.9;-0.9;0.0;0.0;0.8;-1.6;-1.6;-1.6;0.8;0.8;-0.2;0.0;-4.8;0.0;0.1;0.1;10.8;-9.0;-9.0;-2.4;0.0;-0.1;-0.2;-0.2;0.8;-0.0;-0.0;0.0;-0.5;0.3;0.3;0.3;-3.5;-3.5;-0.8;-0.8;1.3;0.0;-1.9;-1.9;-0.2;-0.2;-1.1;-1.1;-1.7;-1.7;-1.6;-1.6;20.0;5.7;0.0;0.0;-2.2;-2.2;-2.3;-2.3;-2.3;-2.1;-0.5;0.0;0.0;0.7;-4.5;-4.5;-0.1;-0.1;-0.9;-0.9;2.0;2.0;12.7;12.7;0.0;-1.7;-1.7;-4.9;-4.9;-4.9;0.3;0.3;-4.8;-43.1;-43.1;0.8;-24.1;-109.3;0.1;-76.4;-75.9;-0.1;-22.0;-29.8;10.3;-22.0;37.0;-0.5;-3.4;3.7;-23.2;43.1;43.7;-10.1;0.0;-6.4;-1.5;-7.2;-1.2;-3.5;-6.1;-2.4;-3.3;-9.8;0.9;0.9;0.8;-26.8;0.9;0.8;-26.6;0.5;-2.8;-2.0;-5.5;33.4;40.8;-21.2;-22.6;-22.6;4.9;-59.3;-2.2;0.0;-8.3;0.0;-41.7;-63.8;0.0;-38.1;-33.0;0.1;14.8;134.8;-15.1;-6.1;-100.6;-0.0;-2.8;-2.2;2.8;67.8;0.0;0.0;-6.4;-7.4;-9.6;-19.1;2.8;2.8;66.8;-26.1;-26.1;-8.3;0.1;-6.7;-3.8;-0.0;-3.8;-10.3;-5.2;-10.9;-11.9;-6.6;-6.6;-6.9;-0.0;-3.3;-2.4;-1.5;61.5;-8.2;4.1;-0.0;1.5;5.1;5.1;-5.6;-0.4;66.5;-5.6;-0.5;0.1
0.2;0.2;-1.6;-1.6;0.4;0.4;0.4;0.4;-0.3;-12.1;-6.7;13.0;13.0;16.0;16.0;-3.0;-3.0;-1.4;-1.4;-4.6;0.9;2.9;1.7;-1.1;-1.1;0.1;0.1;1.4;-1.9;-1.9;-1.9;0.6;0.6;-0.4;0.0;-5.6;0.0;0.1;0.1;20.2;-8.3;-8.3;-2.3;0.0;-0.8;-0.2;-0.2;0.5;-0.0;-0.0;0.0;-0.7;0.5;0.5;0.5;-3.7;-3.7;-0.6;-0.6;1.4;0.0;-1.1;-1.1;-0.1;-0.1;-1.2;-1.2;-1.6;-1.6;-1.9;-1.9;20.0;6.3;0.0;0.0;-2.1;-2.1;-3.4;-3.4;-3.4;-2.6;-0.6;0.0;0.0;0.7;-5.7;-5.7;0.2;0.2;-0.6;-0.6;1.0;1.0;13.4;13.4;0.1;-2.4;-2.4;-4.7;-4.7;-4.7;0.1;0.1;-5.0;-47.1;-47.2;-0.2;-20.0;-117.7;0.1;-65.6;-65.4;-0.1;-22.4;-30.7;11.2;-22.4;38.0;0.3;2.5;0.4;-23.1;42.1;42.7;-10.6;0.0;-6.2;-1.6;-7.1;-1.2;-3.5;-6.3;-2.4;-3.3;-3.7;1.2;1.2;1.1;-23.9;2.2;2.0;-23.7;0.8;-2.8;-2.0;-5.1;37.1;43.9;-19.5;-12.9;-12.9;4.4;-59.0;-2.2;0.0;-8.4;0.0;-44.3;-63.2;0.0;-34.7;-29.9;-0.3;14.3;123.0;-15.1;-6.0;-97.0;-0.0;-2.6;0.1;2.0;68.4;0.0;0.0;-6.4;-7.4;-9.6;-19.2;2.8;2.8;67.3;-29.3;-29.3;-7.4;0.2;-6.4;-3.4;-0.0;-3.4;-10.3;-4.7;-10.8;-11.1;-6.7;-6.7;-7.0;0.0;-3.5;-3.5;-1.5;60.8;-8.1;9.8;-0.3;1.5;5.7;5.6;-4.7;-0.4;66.9;-5.3;-1.0;0.1
0.2;0.2;-1.5;-1.5;0.3;0.3;0.3;0.3;-0.2;-12.7;-7.1;13.0;13.0;16.0;16.0;-2.8;-2.8;-1.4;-1.4;-3.7;0.7;2.4;1.5;-0.7;-0.7;-0.1;-0.1;1.5;-1.8;-1.8;-1.8;-0.6;-0.6;-0.3;0.0;-5.2;0.0;-0.5;-0.5;8.6;-9.0;-9.0;-2.2;0.0;-0.8;-0.2;-0.2;0.9;0.2;0.2;0.0;-0.1;0.5;0.5;0.5;-3.8;-3.8;-0.5;-0.5;1.0;0.0;-1.6;-1.6;-0.2;-0.2;-1.4;-1.4;-0.7;-0.7;-1.9;-1.9;20.0;10.1;0.0;0.0;-2.0;-2.0;-1.8;-1.8;-1.8;-2.9;-0.7;0.0;0.0;0.4;-3.6;-3.6;0.4;0.4;-0.7;-0.7;1.6;1.6;12.4;12.4;0.1;-1.3;-1.3;-4.8;-4.8;-4.8;0.3;0.3;-6.1;-51.1;-51.1;1.2;-20.5;-138.8;0.1;-74.9;-74.5;-0.1;-21.9;-28.9;10.9;-21.9;36.1;-0.9;-3.3;3.8;-23.1;41.5;42.2;-8.6;0.0;-5.8;-1.5;-7.5;-1.2;-3.4;-6.7;-2.4;-3.4;-3.9;0.8;0.8;0.7;-24.6;2.0;1.8;-24.4;0.4;-2.9;-2.0;-5.2;39.7;46.7;-19.1;-17.7;-17.7;3.9;-62.6;-2.2;0.0;-8.5;0.0;-43.4;-62.3;0.0;-31.1;-26.2;-0.1;11.1;98.0;-14.8;-5.8;-87.9;-0.0;-2.8;-2.7;1.8;68.2;0.0;0.0;0.2;-0.9;-7.8;-17.2;3.0;3.0;66.4;-23.0;-23.0;1.6;0.2;-6.8;-3.3;-0.0;-3.3;-10.4;-4.7;-10.9;-11.2;-6.4;-6.4;-6.7;0.5;-3.2;-1.8;-1.4;59.4;-8.2;7.6;0.2;1.3;5.0;5.0;-4.9;-0.4;66.3;-5.3;-0.2;0.1
-0.3;-0.3;-1.6;-1.6;0.3;0.3;0.3;0.3;0.0;-9.7;-5.4;13.0;13.0;16.0;16.0;-3.0;-3.0;-1.5;-1.5;-4.4;0.4;1.4;0.9;-0.6;-0.6;0.1;0.1;0.8;-2.4;-2.4;-2.4;-4.3;-4.3;-0.5;0.0;-5.4;0.0;0.6;0.6;12.2;-6.4;-6.4;-1.8;0.0;-1.0;-0.0;-0.0;1.1;0.1;0.1;0.0;-0.2;0.4;0.4;0.4;-3.1;-3.1;-0.6;-0.6;1.3;0.0;-1.0;-1.0;-0.2;-0.2;-1.4;-1.4;-1.9;-1.9;-1.4;-1.4;20.0;8.3;0.0;0.0;-1.9;-1.9;-2.3;-2.3;-2.3;-1.9;-0.5;0.0;0.0;0.7;-4.2;-4.2;0.7;0.7;-0.7;-0.7;1.0;1.0;12.3;12.3;0.0;-1.6;-1.6;-4.7;-4.7;-4.7;0.3;0.3;-6.6;-53.4;-53.4;1.5;-21.0;-129.4;0.0;-61.8;-61.7;0.2;-22.1;-27.8;11.4;-22.2;35.8;0.1;-3.5;3.6;-22.8;39.3;40.0;-7.6;0.0;-5.8;-1.5;-6.7;-1.2;-3.4;-5.9;-2.4;-3.3;-1.5;1.1;1.1;1.0;-22.8;6.3;6.1;-22.6;0.7;-2.5;-2.0;-4.5;40.9;48.8;-22.4;-12.3;-12.4;0.6;-59.1;-2.2;0.0;-7.8;0.0;-42.2;-57.5;0.0;-36.7;-31.3;-0.3;10.3;110.2;-14.1;-5.1;-85.6;-0.0;-2.8;-2.6;-1.3;68.0;0.0;0.0;-2.5;-3.6;-8.1;-17.5;2.9;2.9;66.3;-25.2;-25.2;4.3;0.2;-6.9;-3.3;-0.0;-3.3;-10.1;-4.3;-10.5;-10.4;-5.0;-5.0;-5.3;0.1;-2.9;-2.3;-1.4;59.5;-8.2;11.6;0.2;1.4;5.0;5.0;-5.5;-0.4;66.1;-4.7;-0.2;-0.0
0.0;0.0;-1.5;-1.5;0.4;0.4;0.4;0.4;-0.0;-12.6;-7.0;13.0;13.0;16.0;16.0;-2.7;-2.7;-1.4;-1.4;-5.7;0.1;0.7;0.4;-0.9;-0.9;0.0;0.0;1.4;-1.6;-1.6;-1.6;-4.6;-4.6;0.2;0.0;-3.2;0.0;-0.1;-0.1;19.5;-4.4;-4.4;-1.4;0.0;-0.0;-0.2;-0.2;1.1;0.6;0.6;0.0;-0.7;0.5;0.5;0.5;-3.0;-3.0;-0.2;-0.2;1.0;0.0;-1.8;-1.8;-0.3;-0.3;-1.4;-1.4;-0.7;-0.7;-1.5;-1.5;20.0;5.7;0.0;0.0;-2.0;-2.0;-3.3;-3.3;-3.3;-1.5;-0.3;0.0;0.0;0.3;-4.5;-4.5;-0.1;-0.1;-0.8;-0.8;1.7;1.7;12.8;12.8;0.2;-2.4;-2.4;-3.8;-3.8;-3.8;0.1;0.1;-5.8;-53.7;-53.7;1.8;-20.3;-127.8;0.0;-39.0;-39.5;1.3;-21.2;-27.7;13.5;-21.2;36.2;2.0;3.0;1.0;-20.8;35.3;36.0;-5.3;0.0;-5.4;-1.3;-5.8;-0.8;-3.4;-5.7;-2.3;-3.1;3.0;1.7;1.7;1.6;-4.2;17.3;16.9;-4.3;1.2;-2.3;-1.2;-4.3;42.6;48.8;-20.6;7.6;7.5;1.2;-50.4;-2.1;0.0;-7.8;0.0;-46.8;-54.4;0.0;-20.6;-16.9;1.9;2.3;93.8;-12.8;-3.8;-67.4;-0.0;-3.4;-0.7;-0.7;67.5;0.0;0.0;-0.3;-1.5;-11.1;-11.7;2.9;2.9;0.0;-15.7;-15.7;4.0;0.1;-3.5;-2.9;-0.0;-2.9;-8.8;-3.2;-8.5;-8.6;-3.4;-3.4;-3.5;-1.2;-2.9;-3.3;-1.5;51.6;-7.6;15.4;0.5;1.6;5.3;5.3;-5.2;-0.4;66.9;-4.6;-0.3;0.0
