AISER3SAUX.1;AISER3TSNCF.1;AUXON3TR312;AUXON3TR313;B.ROC3G1;B.ROC3G2;B.ROC3X1;B.ROC3X2;BEON3 TR311;BOCTO7N.SE5-Y71G;BOCTO7N.SE5-Y71H;BUGEY1TS2;BUGEY1TS3;BUGEY1TS4;BUGEY1TS5;BXNE3 TR311;BXNE3 TR313;C.FOU3TR311;C.FOU3TR313;C.REG3TR314;C.REG6TR613;C.REG6TR614;C.REG6TR615;C.SAU3TR311;C.SAU3TR312;CHAGN3TSNCF.1;CHAGN3X1;CHAL53G1;CHALO3TR311;CHALO3TR312;CHALO3TR313;CIZE6 T611SNCF;CIZE6 T612SNCF;COLLO3TSNCF.1;COMMU6TR612;COMMU6TR613;COMMU6TSNCF.1;CORGO3SAUX.1;CORGO3TSNCF.1;COUCH3TR312;CPVAN3TR311;CPVAN3TR312;CUISE3TR311;CURTI6TSNCF.1;CURTI6TSNCF.2;FRON53SAUX.1;FRON53TSNCF.1;FTAIN3TSNCF.1;G.CHE3TR311;G.CHE3TR312;GENLI3TR311;GENLI3TR312;GEVRE3G1;GEVRE3X1;GEVRE3X2;KIR3  TR311;KIR3  TR312;LOUHA3TR312;LOUHA3TR313;MACON6TR611;MACON6TR612;MERVA3SAUX.1;MERVA3TSNCF;MEURS3G1;MEURS3SAUX.1;MOLLE3TR311;MOLLE3TR313;MTAGN3TR311;MTAGN3TR313;N.GEO3TR311;N.GEO3TR312;N.SE17TS1;N.SE27TS2;NAVIL3SAUX.1;NAVIL3TSNCF;P.SAO3TR311;P.SAO3TR312;PERRI3G1;PERRI3G2;PERRI3G3;PYMON6TR613.C;PYMON6TR613.F;PYMON6TR614.C;PYMON6TR614.F;RIBAU3TSNCF.1;ROMEL3TR311;ROMEL3TR312;RONCI3SAUX.1;RONCI3TSNCF.1;SAISS3T311;SAISS3T312;SSUSU3SAUX.1;SSUSU3TSNCF;TAVAU6T10.T32;TAVAU6T7.T9.T31;TILLE3TSNCF.1;VELAR3G1;VELAR3G2;VIELM3TR311;VIELM3TR312;VIELM3TR313;VOSNE3SAUX.1;VOSNE3TSNCF.1;VOUGL3T311S.A.;.VERBL61GEN.P;.VERBL62GEN.P;ARBOIL31CPVAN;ARLODL61GEN.P;B.TOLL71GEN.P;BLYE L31SAISS;BOCTOL71MORBR;BOCTOL72MORBR;BOISSL61C.FO6;BOISSL61CUS.P;BOISSL61MEUNI;BOISSL61MEYZI;BOISSL62CUS.P;BOISSL62MIONS;BOISSL63SSV.E;BOISSY631;BOISSY632;BOISSY633;BOISSY761;BOISSY762;BREU5L61H.PAU;BREVAL31CPVAN;C.REGL31COUB6;C.REGL31LAVOI;C.REGL31MARC6;C.REGL31SSAPO;C.REGL32LAVOI;C.REGL32MARC6;C.REGL33LAVOI;C.ROYL31CHALO;CBRY L71M.SEI;CHA.NL31CHALO;CHA.NL32CHALO;CHA.NL33CHALO;CHAFFL71SSV.O;CHAFFL72SSV.O;CHAFFL73SSV.O;CHAFFL74SSV.O;CHALOL31CHAL6;CHALOL31SENNE;CHALOL32VAREN;CHANCL32VOUGL;CHARPL71SSV.O;CHARPL72SSV.O;CHAV6L61GEN.P;CHESNL71M.SEI;CHESNL72M.SEI;CORNIL62GEN.P;CORNIL71GEN.P;CPDIVL32CPVAN;CPNOLL61GEN.P;CPVANL31MESNA;CPVANL31ZBRE6;CRENEL71REVIG;CRENEY766;CRENEY778;CREYSL71G.ILE;CREYSL72G.ILE;CRIMOL31ZCRIM;DARCEL61VIELM;F.FREL71M.SEI;FLEYRY631;FLEYRY632;FRASNL71GEN.P;G.CHEL31SSAM6;G.CHEL31SSAM7;GEN.PL61SERRI;GEN.PL61ZCRUS;GEN.PY711;GROSNY711;GUEUGY631;GUEUGY632;GUEUGY633;H.PAUY634;H.PAUY635;H.PAUY651;H.PAUY652;H.PAUY712;HOUDRL71M.SEI;HOUDRL72M.SEI;IZERNY631;IZERNY633;JOUX L61ZJOUX;L.SAUL31PYMON;L.SAUL32PYMON;L.SAUL33PYMON;M.SEIY741;M.SEIY742;M.SEIY743;M.SEIY744;MACONY631;MACONY632;MACONY633;MAGNYL31TRIEY;MOREZL31SAISS;P.BERL31PERRI;P.BERL31ROMEL;SARRYL61VIELM;SAULIL31VIELM;SEREIL71VIELM;SSCL5L31VOUGL;VENARL31VIELM;VERREL31VIELM;VERREL32VIELM;VIELML31ZE.CR;VIELML31ZPOIS;VIELMY711;VOUGLL31ZS.M5;VOUGLL32ZP.SA;BXNE53G1
2.6;2.6;6.6;6.6;0.5;0.5;0.5;0.5;14.1;-1.1;-1.1;31.0;31.0;38.0;29.3;5.0;5.0;6.3;6.3;0.1;12.1;8.2;9.7;10.7;10.7;0.1;0.1;-0.2;13.5;13.5;13.5;-0.2;-0.2;0.0;0.0;0.0;-0.3;0.0;0.0;11.4;11.7;11.7;9.8;0.0;-1.0;-0.2;-0.2;0.2;7.3;7.3;0.0;0.0;0.6;0.6;0.6;2.0;2.0;10.5;10.5;-0.1;0.0;2.1;2.1;-0.1;-0.1;9.2;9.2;11.3;4.6;7.8;7.8;46.0;46.0;0.0;2.0;5.7;5.7;1.4;1.4;1.4;-0.2;-0.2;0.0;0.0;0.0;16.6;16.6;-0.8;-0.8;6.2;6.2;-0.1;-0.1;54.2;54.2;0.1;0.7;0.7;2.2;2.2;2.2;-0.2;-0.2;-2.6;181.6;181.7;21.4;28.2;990.2;-3.8;275.5;268.5;55.6;26.3;13.6;-12.3;26.2;-47.3;55.5;25.3;25.3;52.4;-168.0;-110.7;7.8;0.0;19.9;9.5;2.2;15.4;12.8;1.2;8.3;10.8;-55.5;8.2;8.2;8.0;481.2;482.2;476.0;475.1;7.8;19.3;18.7;4.2;-426.4;-422.2;88.4;-361.7;-109.3;102.9;808.1;12.2;0.0;19.5;42.2;-29.5;94.8;112.6;725.3;725.1;-1.0;-143.6;-467.9;42.9;43.0;420.1;0.0;-4.5;-1.9;109.0;0.0;0.0;0.0;31.6;31.2;37.2;39.3;8.8;8.8;0.1;482.2;606.8;20.1;21.1;79.2;15.6;0.0;15.6;-59.4;-42.9;-59.4;-112.1;29.0;29.3;30.7;15.1;8.9;1.4;0.0;-197.5;4.4;-557.7;13.5;-7.2;-12.6;-11.9;3.9;0.0;0.1;3.7;11.6;0.0
2.5;2.5;6.9;6.9;0.0;0.0;0.0;0.0;14.5;0.0;0.9;31.0;31.0;38.0;25.1;3.2;3.2;6.2;6.2;8.5;11.2;7.5;9.3;10.3;10.3;-0.3;-0.3;-0.5;13.3;13.3;13.3;-0.2;-0.2;0.0;0.0;0.0;1.3;0.7;0.7;13.7;10.6;10.6;9.8;0.0;-0.8;0.4;0.4;-0.5;7.6;7.6;0.0;0.0;0.3;0.3;0.3;2.4;2.4;10.2;10.2;0.1;0.0;2.5;2.5;0.3;0.3;9.4;9.4;10.7;6.6;7.7;7.7;46.0;46.0;0.0;1.0;6.0;6.0;1.3;1.3;1.3;0.1;0.1;0.0;0.0;0.1;15.8;15.8;-1.4;-1.4;6.1;6.1;-0.6;-0.6;54.2;54.2;0.0;1.5;1.5;2.4;2.4;2.4;0.3;0.3;-4.2;171.4;171.5;21.8;28.4;952.8;-3.8;233.5;227.5;55.2;17.8;1.9;-12.5;17.8;-26.3;57.1;26.3;26.3;53.5;-163.6;-97.6;8.9;0.0;20.0;9.6;4.7;15.4;12.9;3.3;8.3;11.1;-91.4;8.2;8.2;8.0;556.2;548.3;541.3;549.1;7.8;19.2;17.9;5.1;-451.9;-450.5;100.0;-379.5;-91.8;101.4;820.8;12.7;0.0;19.8;42.2;-57.6;95.2;113.0;772.4;773.6;-1.3;-160.7;-557.7;43.6;43.7;377.8;0.0;-5.1;-0.8;107.4;0.0;0.0;0.0;32.3;31.9;37.6;39.7;8.9;8.9;0.1;482.1;624.7;19.6;20.5;88.3;15.6;0.0;15.6;-65.9;-43.8;-65.3;-117.2;29.3;29.6;31.0;16.5;8.9;1.3;0.0;-212.7;3.3;-610.4;13.7;-7.0;-12.9;-12.9;6.8;0.0;0.1;4.5;11.7;-0.4
3.8;3.8;7.5;7.5;-0.0;-0.0;-0.0;-0.0;15.3;0.0;4.7;31.0;31.0;38.0;23.4;4.5;4.5;6.6;6.6;3.4;12.0;8.1;9.6;10.6;10.6;-0.1;-0.1;-0.7;12.9;12.9;12.9;-0.6;-0.6;0.0;0.0;0.0;-0.6;1.6;1.6;12.0;12.2;12.2;9.7;0.0;-1.4;0.5;0.5;-1.5;7.2;7.2;0.0;0.0;0.5;0.5;0.5;2.8;2.8;11.0;11.0;0.0;0.0;1.0;1.0;0.5;0.5;9.8;9.8;10.2;3.8;8.1;8.1;46.0;46.0;0.0;0.9;5.9;5.9;1.5;1.5;1.5;0.0;0.0;0.0;0.0;0.0;16.7;16.7;-1.1;-1.1;6.4;6.4;-0.6;-0.6;54.7;54.7;0.0;0.9;0.9;2.5;2.5;2.5;0.1;0.1;-3.3;178.0;178.1;23.0;30.2;1035.4;-3.8;182.1;177.5;53.4;7.1;-1.5;-16.3;7.1;-3.2;57.6;25.4;25.3;51.7;-155.0;-87.1;8.4;0.0;20.7;10.1;4.8;15.4;13.5;3.4;8.7;11.4;-128.4;8.4;8.4;8.2;592.7;594.0;586.4;585.2;8.1;19.2;17.9;5.3;-517.9;-512.8;110.6;-439.5;-116.3;109.9;870.5;12.4;0.0;20.9;44.1;-52.9;99.5;118.1;804.6;804.3;-1.8;-173.0;-630.3;40.9;41.0;387.4;0.0;-3.4;1.7;116.7;-0.0;0.0;0.0;34.0;33.6;38.2;40.4;8.9;8.9;0.1;529.5;688.8;20.4;21.4;90.3;15.6;0.0;15.6;-72.2;-50.5;-70.6;-132.9;29.5;29.8;31.2;16.7;9.6;1.5;0.0;-234.7;-1.0;-679.6;14.5;-7.8;-13.7;-13.9;2.2;0.0;0.1;4.6;12.5;-0.5
2.2;2.2;7.1;7.1;0.3;0.3;0.3;0.3;15.2;0.0;2.7;31.0;31.0;38.0;38.0;6.0;6.0;6.3;6.3;3.0;11.1;7.8;9.2;10.3;10.3;-0.2;-0.2;-0.9;12.8;12.8;12.8;-0.4;-0.4;0.0;0.0;0.0;-0.8;1.1;1.1;11.8;11.3;11.3;10.5;0.0;-1.1;0.0;0.0;-0.8;7.4;7.4;0.0;0.0;0.4;0.4;0.4;2.6;2.6;10.2;10.2;-0.2;0.0;2.2;2.2;0.3;0.3;9.3;9.3;10.2;4.0;7.6;7.6;46.0;46.0;0.0;3.0;5.5;5.5;1.2;1.2;1.2;-0.2;-0.2;0.0;0.0;0.4;16.5;16.5;-1.9;-1.9;6.3;6.3;-0.9;-0.9;54.7;54.7;0.0;1.4;1.4;2.2;2.2;2.2;0.0;0.0;-4.0;185.6;185.8;25.9;29.6;1102.4;-3.8;150.0;146.1;51.0;2.8;0.6;-18.9;2.8;1.4;56.3;24.8;24.8;48.8;-145.4;-84.9;18.1;0.0;21.1;9.6;7.7;15.4;12.8;6.0;8.3;10.8;-151.8;8.1;8.1;7.9;559.4;572.9;565.5;552.3;7.8;19.4;17.9;5.3;-553.6;-544.0;92.4;-530.1;-207.6;108.9;878.6;12.6;0.0;23.6;49.6;50.1;86.0;102.1;777.6;775.3;-0.6;-173.5;-556.8;41.6;41.7;468.0;0.0;-3.4;-0.2;115.3;-0.0;0.0;0.0;33.0;32.6;37.3;39.4;8.9;8.9;0.1;638.4;798.6;18.2;19.1;80.2;15.0;0.0;15.0;-79.9;-54.1;-83.7;-139.3;27.9;28.2;29.5;18.1;9.6;1.2;0.0;-242.8;-2.5;-707.3;13.9;-9.2;-15.0;-14.8;1.4;0.0;0.1;4.7;11.9;-0.4
2.5;2.5;6.4;6.4;-0.1;-0.1;-0.1;-0.1;14.5;-0.8;-0.8;31.0;31.0;38.0;38.0;2.5;2.5;6.2;6.2;1.6;10.3;6.7;8.1;10.0;10.0;0.1;0.1;0.0;13.3;13.3;13.3;0.2;0.2;0.0;0.0;0.0;0.7;1.2;1.2;12.0;10.9;10.9;9.4;0.0;-1.1;1.1;1.1;-0.8;6.8;6.8;0.0;0.0;0.2;0.2;0.2;2.1;2.1;10.5;10.5;-0.3;0.0;1.5;1.5;0.3;0.3;9.0;9.0;9.9;2.5;7.9;7.9;46.0;46.0;0.0;1.4;5.1;5.1;1.1;1.1;1.1;0.0;0.0;0.0;0.0;0.1;15.8;15.8;-1.6;-1.6;5.8;5.8;-0.4;-0.4;54.6;54.6;0.0;0.4;0.4;2.3;2.3;2.3;-0.1;-0.1;-0.1;196.4;196.6;25.5;27.2;1162.1;-3.9;134.5;131.0;50.9;-1.0;1.2;-18.8;-1.0;3.1;54.5;24.2;24.2;48.8;-137.3;-77.5;8.2;0.0;20.9;9.0;7.5;14.6;12.0;5.9;7.8;10.2;-171.0;7.6;7.6;7.4;477.0;590.5;582.9;471.0;7.4;18.2;17.0;3.5;-615.5;-572.4;108.5;-536.5;-215.9;117.3;923.2;11.1;0.0;23.5;49.8;49.3;66.2;79.0;829.1;809.7;-0.6;-189.1;-528.8;41.4;41.4;468.7;0.0;-1.7;0.1;123.5;0.0;0.0;0.0;30.7;30.3;36.2;38.2;8.5;8.5;0.1;659.2;818.8;13.5;13.7;82.8;14.1;0.0;14.1;-95.5;-62.1;-109.3;-151.3;27.4;27.7;29.0;17.2;10.0;1.1;0.0;-246.8;-2.1;-734.8;13.6;-9.6;-15.0;-15.0;-3.0;0.0;0.1;3.0;11.7;-0.2
1.8;1.8;6.3;6.3;0.4;0.4;0.4;0.4;13.4;0.1;1.2;31.0;31.0;38.0;38.0;0.0;0.0;6.2;6.2;2.2;11.5;7.5;9.5;9.5;9.5;-0.1;-0.1;0.0;12.2;12.2;12.2;-0.2;-0.2;0.0;0.0;0.0;1.4;1.0;1.0;11.0;10.4;10.4;9.6;0.0;-1.2;0.5;0.5;-1.1;6.8;6.8;0.0;0.0;0.3;0.3;0.3;1.6;1.6;10.3;10.3;0.0;0.0;1.0;1.0;0.4;0.4;8.8;8.8;10.4;5.4;7.3;7.3;46.0;46.0;0.0;0.6;5.0;5.0;1.0;1.0;1.0;0.6;0.6;0.0;0.0;0.2;15.0;15.0;-0.6;-0.6;5.9;5.9;-1.1;-1.1;54.3;54.3;0.0;0.3;0.3;1.7;1.7;1.7;0.1;0.1;-2.7;178.1;178.2;21.7;26.6;1109.8;-3.9;137.4;133.9;49.7;-2.3;-12.1;-15.3;-2.3;9.0;54.1;24.8;24.8;48.2;-130.5;-61.7;7.8;0.0;19.5;8.8;5.0;14.6;11.6;3.5;7.5;10.2;-172.8;7.5;7.5;7.3;433.2;645.6;637.4;427.7;7.2;18.3;17.1;3.4;-637.4;-561.8;117.3;-491.7;-153.5;107.8;925.7;11.1;0.0;20.3;45.0;-12.3;44.7;53.7;863.5;826.9;-1.2;-213.3;-653.5;40.0;40.0;357.5;0.0;-0.0;-0.5;114.0;0.0;0.0;0.0;29.9;29.5;34.5;36.4;8.3;8.3;0.1;615.1;783.1;10.8;11.8;91.2;14.9;0.0;14.9;-99.8;-59.1;-114.0;-150.3;27.4;27.7;29.0;15.2;9.4;1.0;0.0;-250.7;-3.1;-757.1;13.3;-9.6;-16.5;-16.6;-9.4;0.0;0.1;2.9;11.2;-0.2
2.4;2.4;5.6;5.6;0.1;0.1;0.1;0.1;13.2;0.1;2.8;31.0;31.0;38.0;38.0;1.3;1.3;5.9;5.9;3.3;11.1;7.3;8.7;9.4;9.4;0.0;0.0;-0.2;12.1;12.1;12.1;0.4;0.4;0.0;0.0;0.0;1.0;0.3;0.3;8.9;11.3;11.3;9.8;0.0;-1.5;0.2;0.2;-1.0;6.3;6.3;0.0;0.0;0.2;0.2;0.2;1.7;1.7;9.2;9.2;-0.6;0.0;1.4;1.4;0.1;0.1;8.8;8.8;10.7;4.3;6.9;6.9;46.0;46.0;0.0;1.6;4.9;4.9;0.9;0.9;0.9;0.0;0.0;0.0;0.0;0.0;15.0;15.0;-2.3;-2.3;5.4;5.4;-0.3;-0.3;54.2;54.2;0.0;0.4;0.4;1.7;1.7;1.7;-0.1;-0.1;-3.5;190.4;190.5;23.4;25.5;1156.3;-3.9;131.1;127.8;49.0;-3.9;-10.0;-19.5;-3.9;9.6;49.0;24.3;24.3;46.6;-119.0;-57.3;6.2;0.0;19.9;8.7;2.0;14.6;11.6;0.8;7.5;9.9;-180.0;7.4;7.4;7.2;368.8;625.7;617.7;364.1;7.2;17.1;16.2;-1.9;-689.3;-598.8;121.8;-494.6;-163.0;116.9;951.8;10.9;0.0;22.0;47.7;0.1;31.3;38.0;888.0;843.9;-0.4;-217.5;-633.7;37.1;37.2;417.0;0.0;-0.0;2.7;123.0;0.0;-0.0;0.0;28.9;28.5;32.4;34.2;8.0;8.0;0.1;644.0;809.3;4.7;5.3;85.3;13.6;0.0;13.6;-103.2;-68.2;-120.5;-164.2;26.3;26.6;27.8;15.1;9.9;0.9;0.0;-252.1;-2.9;-764.4;14.3;-10.3;-16.4;-15.7;-8.5;0.0;0.1;-2.0;12.2;-0.1
2.5;2.5;5.6;5.6;-0.2;-0.2;-0.2;-0.2;12.8;0.2;3.9;31.0;30.9;38.0;38.0;0.4;0.4;5.6;5.6;2.9;9.9;6.7;8.5;9.4;9.4;-0.1;-0.1;-0.5;11.7;11.7;11.7;0.2;0.2;0.0;0.0;0.0;1.4;1.2;1.2;8.4;10.3;10.3;8.4;0.0;-2.1;-0.1;-0.1;-0.1;6.0;6.0;0.0;0.0;0.4;0.4;0.4;2.2;2.2;9.1;9.1;-0.2;0.0;2.6;2.6;0.0;0.0;8.6;8.6;9.6;2.2;6.9;6.9;46.0;46.0;0.0;0.8;4.9;4.9;1.4;1.4;1.4;-0.1;-0.1;0.0;0.0;0.0;15.2;15.2;-1.1;-1.1;5.6;5.6;-1.3;-1.3;54.7;54.7;0.1;0.9;0.9;1.6;1.6;1.6;-0.2;-0.2;-4.4;174.7;174.8;22.3;22.7;1159.1;-3.9;135.3;131.8;48.1;-3.3;-13.5;-18.0;-3.3;11.3;47.6;24.6;24.0;45.8;-117.7;-53.1;6.9;0.0;19.6;8.7;2.1;13.8;11.6;1.0;7.5;10.2;-180.9;7.3;7.4;7.2;385.2;646.1;637.8;380.3;7.1;17.1;16.2;-4.3;-680.0;-588.3;116.1;-470.1;-135.0;103.6;956.6;10.8;0.0;21.0;45.0;-40.9;19.2;23.8;889.4;844.6;-0.6;-227.2;-684.4;36.5;36.6;382.8;0.0;-0.0;1.7;109.3;0.0;-0.0;0.0;29.0;28.7;33.0;34.8;8.1;8.0;0.1;633.4;800.4;1.2;1.0;87.8;13.5;0.0;13.5;-102.8;-71.3;-119.6;-168.6;26.2;26.5;27.7;13.9;9.3;1.4;0.0;-256.0;10.5;-774.5;13.0;-11.3;-17.7;-17.8;-8.5;0.0;0.1;-4.2;11.0;-0.4
2.2;2.2;5.6;5.6;-0.1;-0.1;-0.1;-0.1;12.4;0.1;4.0;31.0;31.0;38.0;38.0;1.5;1.5;5.6;5.6;4.0;10.7;7.3;9.2;9.5;9.5;-0.1;-0.1;-0.1;12.2;12.2;12.2;-1.8;-1.8;0.0;0.0;0.0;1.1;0.4;0.4;9.4;10.3;10.3;8.3;0.0;-2.0;0.3;0.3;-1.3;6.8;6.8;0.0;0.0;0.7;0.7;0.7;1.8;1.8;9.1;9.1;-0.7;0.0;1.1;1.1;0.4;0.4;8.7;8.7;9.4;4.4;6.7;6.7;46.0;46.0;0.0;1.1;5.0;5.0;0.9;0.9;0.9;0.2;0.2;0.0;0.0;-0.1;15.0;15.0;-0.9;-0.9;5.5;5.5;0.9;0.9;54.5;54.5;0.0;0.5;0.5;2.7;2.7;2.7;0.4;0.4;-4.0;179.9;180.0;22.5;25.1;1185.0;-3.9;115.7;112.8;47.8;-4.1;-13.7;-18.6;-4.1;11.4;49.0;24.2;24.2;44.9;-116.1;-53.5;7.6;0.0;20.7;8.8;0.5;13.8;11.6;-0.4;7.5;9.9;-194.0;7.6;7.6;7.4;360.6;642.4;634.2;356.0;7.3;17.1;16.2;-4.8;-696.4;-597.6;116.7;-503.3;-170.3;105.9;963.6;10.5;0.0;21.3;44.9;-2.3;16.6;21.4;891.3;843.0;-1.4;-232.0;-637.1;36.3;36.4;401.5;0.0;-1.7;-0.2;111.7;0.0;0.0;0.0;30.8;30.5;33.5;35.4;8.1;8.1;0.0;671.8;837.0;1.1;0.8;86.6;14.4;-0.0;14.4;-108.2;-74.4;-128.8;-174.9;25.8;26.1;27.3;14.0;9.2;0.9;0.0;-262.1;10.4;-783.8;13.1;-12.9;-20.9;-21.0;-3.6;0.0;0.0;-4.7;11.2;-0.4
2.3;2.3;5.7;5.7;0.1;0.1;0.1;0.1;13.0;0.1;4.2;31.0;31.0;38.0;38.0;0.2;0.2;5.6;5.6;3.4;10.1;6.9;8.3;10.2;10.2;0.1;0.1;-0.5;11.8;11.8;11.8;0.5;0.5;0.0;0.0;0.0;2.2;0.3;0.3;9.5;10.1;10.1;8.3;0.0;-1.7;0.9;0.9;1.4;7.0;7.0;0.0;0.0;0.2;0.2;0.2;1.3;1.3;9.2;9.2;-0.3;0.0;1.6;1.6;-0.3;-0.3;8.2;8.2;10.8;1.6;7.4;7.4;46.0;46.0;0.0;0.6;4.8;4.8;0.9;0.9;0.9;0.5;0.5;0.0;0.0;1.5;15.0;15.0;-2.0;-2.0;5.4;5.4;-0.7;-0.7;54.1;54.1;1.4;0.2;0.2;3.1;3.1;3.1;-0.2;-0.2;-3.9;182.8;182.9;22.8;25.9;1203.8;-3.9;109.6;106.8;49.2;-4.5;-8.7;-20.4;-4.5;11.2;49.0;24.5;23.9;46.1;-119.7;-55.4;9.3;0.0;20.7;8.8;2.9;13.8;11.6;1.7;7.5;10.2;-201.1;8.3;8.3;8.1;363.3;649.3;641.0;358.7;8.1;17.1;16.2;-2.1;-708.7;-608.5;116.4;-505.0;-163.7;104.8;976.5;10.7;0.0;21.6;45.8;-11.7;11.9;15.9;900.2;851.2;-1.7;-236.8;-671.4;37.2;37.2;408.0;0.0;0.0;1.2;111.2;0.0;-0.0;0.0;31.0;30.7;34.0;35.9;8.3;8.3;0.0;677.8;846.7;1.0;1.1;89.9;14.9;0.0;14.9;-110.6;-75.8;-131.5;-177.5;26.5;26.8;28.0;14.4;9.5;0.9;0.0;-267.1;10.5;-799.8;12.7;-12.4;-20.7;-20.7;-5.9;0.0;0.0;-2.3;10.7;0.0
