name,Pmax,Pmin,type,bus,max_ramp_up,max_ramp_down,marginal_cost,start_cost,min_up_time,min_down_time,shut_down_cost
BUGEY7G2,941.1,211.0,nuclear,BUGEYP1,210.0,450.0,45,27728.7,2016.0,2016.0,0
BUGEY7G3,941.0,211.0,nuclear,BUGEYP1,210.0,450.0,45,27728.7,2016.0,2016.0,0
BUGEY7G4,918.1,218.0,nuclear,BUGEYP1,210.0,450.0,45,27728.7,2016.0,2016.0,0
BUGEY7G5,918.1,218.0,nuclear,BUGEYP1,210.0,450.0,45,27728.7,2016.0,2016.0,0
BXNE IN1,12.0,0.0,wind,BXNE P3,,,0,0.0,0.0,0.0,0
BXNE IN3,12.0,0.0,wind,BXNE P3,,,0,0.0,0.0,0.0,0
BXNE IN4,4.3,0.0,solar,BXNE P3,,,0,0.0,0.0,0.0,0
BXNE INF,1.3,0.0,solar,BXNE P3,,,0,0.0,0.0,0.0,0
BXNE ING,1.3,0.0,solar,BXNE P3,,,0,0.0,0.0,0.0,0
GEN.P6G1,66.0,0.0,hydro,GENISP1,66.0,66.0,30,1.0,12.0,12.0,0
GEN.P6G2,66.0,0.0,hydro,GENISP1,66.0,66.0,30,1.0,12.0,12.0,0
GEN.P6G3,66.0,0.0,hydro,GENISP1,66.0,66.0,30,1.0,12.0,12.0,0
GEN.P6G4,66.0,0.0,hydro,GENISP1,66.0,66.0,30,1.0,12.0,12.0,0
GEN.P6G5,70.0,0.0,hydro,GENISP1,70.0,70.0,30,1.0,12.0,12.0,0
GEN.P6G6,66.0,0.0,hydro,GENISP1,66.0,66.0,30,1.0,12.0,12.0,0
N.SE17GROUP.1,1356.1,306.0,nuclear,N.SE1P1,210.0,450.0,45,27728.7,2016.0,2016.0,0
N.SE27GROUP.2,1356.1,306.0,nuclear,N.SE2P1,210.0,450.0,45,27728.7,2016.0,2016.0,0
TAVAU6GROUP.1,48.0,20.0,thermal,TAVAUP1,48.0,48.0,100,5443.6,96.0,48.0,0
TAVAU6GROUP.2,48.0,20.0,thermal,TAVAUP1,48.0,48.0,100,5443.6,96.0,48.0,0
VIELMIN1,30.0,0.0,wind,VIELMP3,,,0,0.0,0.0,0.0,0
VIELMIN2,32.0,0.0,wind,VIELMP3,,,0,0.0,0.0,0.0,0
VIELMIN3,21.6,0.0,wind,VIELMP3,,,0,0.0,0.0,0.0,0
VIELMINF,3.0,0.0,solar,VIELMP3,,,0,0.0,0.0,0.0,0
VIELMING,3.0,0.0,solar,VIELMP3,,,0,0.0,0.0,0.0,0
VOUGL.HG1,77.8,0.0,hydro,VOUGLP1,77.8,77.8,30,1.0,12.0,12.0,0
VOUGL.HG2,77.8,0.0,hydro,VOUGLP1,77.8,77.8,30,1.0,12.0,12.0,0
VOUGL.HG3,77.8,0.0,hydro,VOUGLP1,77.8,77.8,30,1.0,12.0,12.0,0
VOUGL.HG4,65.8,0.0,hydro,VOUGLP1,65.8,65.8,30,1.0,12.0,12.0,0
